port_id,lat,lon,feature_points,area_deg2
31,40.55918428703388,-73.92982539550422,7135,0.2081860145999983
5,26.100220487279184,-80.04973949464011,2386,0.08544785715000158
62,25.773769023925812,-80.08942646356965,1854,0.061917363249999684
139,36.91423938921417,-76.20638927219626,1820,0.07771700054999947
230,32.84739022708535,-79.89348377701806,1120,0.025843615199999916
2,42.348176063630724,-70.95801343252305,1053,0.017488985700000258
63,39.85911475502828,-75.27240577914586,989,0.016037617000001003
264,30.381885008509535,-81.43491497984826,984,0.04639122899999966
279,32.1016136292228,-81.0633641763876,907,0.005729734300000367
75,39.22254293639064,-76.53507597415039,779,0.008690811100000577
104,26.772345090266807,-80.03594509281726,658,0.0034489367000000775
715,27.836497565151195,-82.47042909666942,646,0.015726702849999167
59,35.4220594587908,-75.44376610487261,563,0.039521097700000174
90,27.66699568249408,-82.71880657262317,553,0.06437621434999857
17,24.534351569885995,-81.79653762495096,513,0.025195133399998293
194,39.59422076847084,-75.56513234548525,497,0.024055878599998026
210,28.395056433948252,-80.57270206035678,329,0.0023869290000004713
570,26.88033883290049,-80.07124654173421,303,0.0015453045499990263
22,41.24992439173844,-72.13104410103877,293,0.017789576349999652
144,33.95052909022936,-77.98414071530757,266,0.008446019600000392
765,34.67846508136597,-76.6461937835629,263,0.009500360749999522
116,41.06957804062751,-73.14496001429877,256,0.016678182099999772
321,34.176169940837845,-77.95203849306422,255,0.0022161183500001096
105,39.275854061560715,-76.21487737416825,245,0.005124818349999592
68,41.48667244076615,-70.61906201717692,242,0.006933505150000344
134,41.145433241228794,-73.91345412431467,221,0.010570354149999767
114,39.41701991151581,-76.0410021044193,208,0.0020410820500007133
71,31.1153150828174,-81.40587398672028,195,0.003064034299999861
161,30.70105032481256,-81.4303434391627,189,0.0023396652500002626
36,41.56437347692399,-71.31667858323088,186,0.008217317899999937
53,31.99996969455026,-80.78594537234173,181,0.0033219671999999336
394,41.61080630536604,-70.90096267123235,178,0.0009555164000005626
839,39.379549449331655,-74.42108101030125,167,0.00030355780000001456
945,41.59054711548637,-71.40237003534236,160,0.00079055280000032
1092,43.659978483164224,-70.2196899346495,156,0.002130297199999508
102,27.73015398688876,-82.72656236358823,154,0.006193578299999695
2097,41.09497656080997,-72.35884782781727,152,6.350094999993167e-05
556,35.79873777804253,-75.52256419437379,150,0.008256488750000122
58,35.21892732366126,-75.75217898197633,149,0.0033491647499999323
266,38.360182572745956,-76.33661998989446,147,0.007533192499999621
1053,31.132376657216632,-81.49773137782063,145,0.0007471930500000042
3555,41.281812912590865,-72.90799609326136,137,0.00016894420000005097
2911,40.54244379032235,-74.23875298911116,131,0.0008758040499998335
189,41.46455172486253,-70.20637664344135,123,0.020603958500000154
1573,29.90402351839673,-81.30712216816696,122,0.0009243481000002614
185,38.82337741334446,-75.07057013884553,121,0.01052958485000065
86,24.89867417634275,-81.9259196232496,120,0.01247813354999989
660,37.20149599440369,-76.78487475926117,119,0.0005855228500000258
646,38.95562850844178,-74.89670560493909,117,0.00045415714999988264
111,40.95228901839602,-73.90491766158713,111,0.0008123017999996596
1279,25.314905459485132,-80.28808167300231,109,0.0002500532499999706
609,41.12522661879731,-69.2910681053882,108,0.007726854149999699
204,24.83505127079391,-82.0154416263411,105,0.007994627250000205
755,40.43811464014867,-74.01752153351117,105,0.001677180349999794
4199,34.95319330701341,-76.80942158315192,98,9.440249999990223e-05
1032,32.67864191589797,-79.73485096273178,97,0.0020151648999998002
152,41.29946691317124,-71.53378992001467,95,0.007197533399999604
709,27.964067436865882,-82.81969611285407,94,0.0011519426500002554
588,38.61360772071488,-74.0036342397495,93,0.007993538349999767
942,40.1034513915739,-74.02981506752926,93,0.0003404499999999927
66,39.179816104562086,-75.26620825125909,91,0.001887736750000275
166,40.489405502972204,-73.6582128161468,89,0.002179353000000128
1191,39.985380162592634,-74.08864764800781,84,0.0016460790999997094
1074,32.0351943874499,-80.89997831683655,78,0.001099512650000095
783,38.97628749997721,-76.47419840988371,78,0.0005980669499999373
1901,26.427233637246413,-80.06771888406503,72,0.0002539810499998331
505,42.407494747286215,-70.80546458223631,72,0.0046278315999995516
385,37.21705486250672,-76.1153757802839,71,0.0013140861999997836
2579,26.356063558896853,-80.07421160656821,70,0.00017819369999987604
365,28.989985993047654,-80.82845287263184,69,0.0043494323500001646
2560,42.242251522045365,-70.96892198961756,68,2.7508050000017935e-05
1959,40.492515939578055,-74.14114098891714,68,0.00017763469999996178
1270,35.9659173125414,-75.60310583841968,68,0.002185078499999694
516,38.898972221586696,-76.41344013425143,67,0.004806288000000458
2066,27.322920932159573,-82.5581772622657,64,0.0005012986499998997
2080,27.507784857639955,-82.56715101009856,63,0.00018373075000004393
283,36.72274537202899,-76.239742927526,61,7.136720000006386e-05
579,36.851404937303926,-75.8089346737598,61,0.007218823450000401
383,35.39690098587844,-76.72657720615176,61,0.0027151487999996426
724,39.322052719189166,-75.40773567823216,60,0.0007275626000001677
645,32.67382333369128,-80.23548580924913,59,0.0003752838999998973
3894,40.76553036939748,-73.8481557816944,57,4.7776450000058895e-05
542,39.985953925784244,-75.07444075087922,56,0.0003776650500000382
1596,29.99638290611602,-81.65903714269638,56,0.0002558846000000098
16,38.64352644643764,-73.64425858642205,55,0.004272551499999673
274,26.736004205986156,-79.93130564941362,55,0.0074416725499998945
87,34.52989854925768,-77.36947795931822,55,0.0017377952999997638
407,42.606728033929,-70.66786491683455,54,0.00041267940000001347
806,32.02740305867025,-81.04735081115669,52,1.8728400000024586e-05
2737,38.789778301973556,-75.16426218994046,52,4.639700000062236e-06
216,37.22272752079348,-76.19272504880672,52,0.005012499950000801
1634,31.13179826352843,-81.53085395329873,51,2.8204799999978287e-05
346,35.02179318942355,-76.70106390065723,51,1.0843600000030485e-05
2164,42.48140660775546,-73.7865668290934,51,3.8210050000043583e-05
1847,39.206556880044054,-74.64454660343941,51,0.0001449559999999093
987,44.43866767845355,-68.90346117280501,51,0.0001504695999998796
1967,38.96172131026096,-75.18878156791489,51,6.610935000015021e-05
172,39.69777128753406,-74.03507437257083,50,0.004806459749999983
169,35.83102110672516,-75.60598290884208,50,0.00032078440000002026
857,43.07772454700061,-70.74725607233158,50,0.00037240945000032756
813,33.8298015871553,-78.05316557363275,49,0.003560156950000274
1181,41.769507329409585,-71.37843309232207,48,0.0008492999000002464
1185,33.858554676742074,-78.57177009669815,48,0.0010772148499999222
452,25.275073084168625,-79.63274980271535,47,0.007746154350000869
1711,33.39449932408023,-79.10071870238642,47,0.0008624901999995059
2679,41.71664441591299,-71.15886310140147,46,6.733299999913601e-06
280,26.06691647597265,-79.44838175901634,46,0.008600281099999982
30,34.20309207257577,-77.81892654017967,45,0.0010914165500000355
2203,27.85053406476641,-82.55678842657355,44,0.00011993305000009404
237,30.29887251000623,-81.21893458695936,44,0.0038359240000002764
603,41.294485451888484,-70.09492050932052,43,0.00010280560000006969
532,24.807904912167835,-82.3483158902189,43,0.003667766100000097
791,31.034339439263608,-81.24736163341498,43,0.0035954883499999526
900,41.501129601079015,-73.99866056139392,43,0.0004625293499997871
1045,36.917452582337006,-76.08326292033615,43,0.00015175285000006673
67,25.913208590472323,-79.464114458203,42,0.0063229144999999085
271,40.96809844554367,-73.5150199060816,42,0.005047077299999455
238,25.609217142548765,-79.52946720777545,41,0.0063202966499995294
886,40.49239821594626,-74.24954755007434,41,5.84256500000169e-05
1776,35.11933928895167,-75.99793640418902,41,0.0004945404499998408
860,36.0641235703717,-75.66654435130728,40,0.00112744404999962
220,41.45167830087422,-70.77117645527969,40,0.00200217294999987
147,37.632625895328076,-76.42687793739213,40,0.0006463592500000266
762,41.42414899705898,-71.37029856857447,40,0.002879022049999862
292,40.09557813975793,-73.94959638561,39,0.005211413399999737
3349,28.623973772510237,-80.80692915400088,38,3.887119999998489e-05
695,41.69455215737825,-71.33045243959262,37,0.000880003000000434
1925,37.23972766512162,-76.4860489003983,37,0.0006866148499999106
1626,30.27501485341218,-81.71612715349367,36,1.5996099999998368e-05
885,24.823165857320234,-82.18394589360923,36,0.003993019199999299
1698,32.64284024769065,-79.64606779810744,36,0.0004222403999999694
3975,39.75653291550585,-74.11183511014973,35,2.1554750000000267e-05
718,34.06834406788897,-77.8783698073744,35,0.0013379020500002329
45,41.50955924077389,-70.85968575980556,34,0.0033401779999994814
826,39.501254072277256,-75.90159125196259,34,0.001503407950000144
811,25.107220637152288,-80.45259325163757,34,0.0009108183499998306
5034,27.369847085039055,-82.6184969751681,34,4.018349999969059e-06
1723,42.627337073636,-73.75505581937911,33,1.1794499999850556e-06
155,33.25985161600258,-79.24408991626612,33,0.0009600077499999671
41,26.381159501958273,-79.44836409469471,33,0.0036794186499995154
3122,43.753124307789975,-70.1218593663384,32,7.971605000003202e-05
487,40.61945000496727,-73.76122055024145,32,0.0004380680000000595
4495,42.60776,-73.75986999999999,32,5.5737000000069394e-05
934,42.65976830050874,-70.68486967313655,32,0.00020903784999990588
624,38.73052027130243,-74.8956569749679,32,0.0034993020500000346
525,32.77825576721427,-79.95235529730823,31,1.7302749999910102e-05
376,28.32811617379167,-80.4679257625835,31,0.0020289119999998134
499,40.53279642948816,-69.78142950671472,31,0.0023042687000000414
3358,27.803338723804863,-82.4062471727094,31,0.00012205029999995675
1984,31.05445446760137,-81.42702657877906,30,0.00012006244999982776
3535,39.57185704166017,-76.10202708430853,30,3.2044999999662684e-07
1228,41.81060057860555,-71.3971593069708,30,2.9750549999976147e-05
178,41.417385885855424,-69.89875044800573,30,0.0017850861500002455
1050,38.99212583615784,-75.13729132449393,29,0.00046432979999997824
1871,32.600312902640496,-80.17638971923795,29,3.490500000072158e-07
1624,38.86699747986912,-77.02176704380265,29,0.00039667080000003405
4065,28.157666504635824,-82.76469272521888,29,2.8402000000046543e-05
648,38.18328385736941,-76.26877158490589,29,0.003619557049999965
864,37.82974927252828,-76.16782854100973,29,0.002790462649999714
890,39.056311258892535,-76.37901602570675,29,0.003261616350000434
1067,33.903795423191625,-78.1266096818083,28,0.00229739245000014
2489,39.40938259675962,-75.50708923737652,28,0.00020851115000008937
1823,27.53947423082061,-82.70585068123516,28,0.0009861176000000719
368,32.60277837665172,-79.50819607195645,28,0.0005829163999997393
305,36.83705929829783,-75.65053459102283,27,0.002497371250000168
4765,27.856463392789117,-82.3918766440513,27,3.4563500000042394e-06
460,41.19062182930027,-72.853332091222,26,0.0006777597000000039
526,41.740547808199636,-70.61720981376817,26,1.2385099999998155e-05
317,39.288137944324845,-73.9373942497945,26,0.00022544944999993566
4410,38.62140060263116,-75.09453759708353,26,5.257499999948316e-07
214,44.104127750542574,-69.10382379292793,26,6.75555499999548e-05
1319,27.53241296746572,-82.62892007544606,25,0.0015216897500001754
1277,38.967252600697876,-74.96036866035885,25,2.5634849999968345e-05
743,38.83052589642205,-74.88954800575031,25,0.0017311563499998184
268,39.06204304562975,-74.24580773169585,25,0.0002206130500000953
11,38.59913020136083,-73.7418445158035,24,0.0011326044500001313
439,33.920610223393275,-78.2333858951583,23,0.00023966104999993917
4104,40.77260271444605,-72.75646689113356,23,1.0395000000001641e-07
2720,40.329458730649804,-73.9566168473118,23,1.4755450000032229e-05
2882,38.58457923852851,-73.90444866199282,23,3.351975000007623e-05
2096,41.637897101501444,-71.21477531009866,23,6.349269999998396e-05
226,28.357874768252636,-80.72233201592958,23,3.5782499999888984e-06
20,25.64122734781789,-79.99684273247655,23,0.0025406986499998943
94,42.52970106299351,-70.86247858843505,23,0.00012580635000000888
661,36.28486797074962,-75.95955031653764,23,0.0009482569000004409
179,42.40022322030566,-70.6397337991963,23,2.331729999998508e-05
1428,27.685497919544854,-82.84211297656012,23,0.0015939985500004444
1095,27.883962312994313,-82.53483726929821,23,6.985749999967776e-06
917,27.462238081525214,-80.31599813451264,22,0.0002399846500000243
4187,34.80553852307629,-76.68272248191136,22,3.2179499999943827e-06
1362,37.83129015751262,-76.27858837210314,22,2.8355400000032685e-05
275,38.318258781692386,-74.50032177306215,21,0.002176845400000271
1107,38.47230451250214,-74.6697324347683,21,0.001123564750000059
2079,41.63786817063863,-70.27576148668648,21,0.00016957375000000452
1337,36.836187505662245,-76.2468395233875,21,1.6924999999194579e-07
673,35.634566324250166,-76.15880986109798,21,1.4950600000087316e-05
2773,38.97315232253368,-76.25162157747847,21,2.747000000005172e-07
1418,41.776144053920255,-70.5208628014726,21,0.0013780139499999823
473,26.9332735196026,-79.38239755751776,21,0.0030249300499995565
1510,35.50918002885488,-75.97663585062904,20,7.601834999999054e-05
963,41.927482203649056,-70.48490335810455,20,0.0022681705999996657
509,25.670288731424446,-79.91455380134289,20,0.00337973655000008
64,31.07949878795624,-81.29991456515668,20,0.00012851639999983757
431,25.741801652027487,-79.48851294590652,20,0.001769646100000698
736,43.75110147527335,-69.77847958261643,20,9.008500000029881e-07
965,40.36515488212004,-73.91974653381807,20,0.002052803000000309
2575,32.64488871224656,-79.38585215918278,20,4.8047500000064e-06
4956,40.40515110471009,-73.94460241172851,20,3.377929999998766e-05
289,26.765389524407613,-79.389344912058,19,0.0019663042500001286
1571,27.89120253632144,-82.84192018191054,19,5.206404999993358e-05
1291,38.84298403262443,-76.54054732769778,19,7.653774999990406e-05
3935,39.53019597720438,-75.80998239899124,19,0.00010392785000005013
1023,29.885155283919712,-81.22884078448777,19,0.0011392531500002746
761,36.8410832887953,-75.49460629496812,19,0.00034106805000017054
2765,32.03186494526135,-80.84941882913476,19,0.0002522074999999138
219,35.17648782422342,-76.08599427145563,19,0.001358331949999974
554,35.67062334007566,-76.0839392922055,19,0.00020813809999990567
701,37.54353510450483,-76.33694013932904,18,3.109665000000844e-05
991,39.54302947799895,-75.71802962134964,18,0.00046073374999964074
4107,35.382450308863795,-76.77468227327172,18,7.79200000007758e-07
1617,38.92380815428293,-75.02850175006087,18,0.0005201370500000122
1034,25.482620033170573,-79.46082558504482,18,0.0021527314000002974
