source_port,target_port,transition_count,unique_vessels
63,194,98,25
194,63,93,28
715,90,67,24
90,715,66,27
62,5,47,23
5,62,46,25
31,2911,42,20
31,755,39,7
2911,31,39,16
31,63,38,12
755,31,37,7
63,31,37,13
53,1074,29,8
75,139,29,12
230,279,26,11
139,75,26,12
116,31,26,10
279,230,25,12
2203,715,24,6
59,556,24,8
31,116,23,10
813,144,23,7
715,2203,23,7
31,166,23,11
1074,53,23,4
105,114,23,6
71,1053,22,7
556,59,22,8
31,139,22,14
2,505,22,13
3555,116,21,5
166,31,21,9
1053,71,20,6
114,75,20,4
114,105,20,5
75,114,20,4
31,3555,20,8
3555,31,18,8
71,1032,18,2
3894,31,17,3
765,346,17,4
31,3894,17,3
139,31,17,11
346,765,17,4
505,2,17,11
31,2164,16,4
116,3555,16,3
839,1847,16,4
204,17,15,7
542,63,15,6
1270,59,15,5
17,86,15,6
194,542,15,6
1847,839,15,4
86,204,14,7
139,579,14,6
86,17,14,6
1032,71,14,2
144,813,14,4
1053,1634,14,2
1032,230,14,6
280,67,13,8
75,194,13,8
603,189,13,3
4644,4104,13,2
59,1270,13,5
230,1032,13,5
2164,31,13,4
279,31,13,9
17,204,13,8
579,139,13,6
5,570,12,6
75,31,12,4
111,31,12,6
134,31,12,8
1045,139,12,2
4495,31,12,3
4765,715,12,4
715,4765,12,4
63,75,12,6
31,111,12,6
4104,4644,12,2
144,321,12,6
63,542,12,6
75,105,12,4
31,75,12,4
31,1959,11,6
5,104,11,8
189,603,11,2
570,104,11,9
75,886,11,1
139,1045,11,2
62,2579,11,4
139,279,11,8
31,487,11,4
31,2,11,5
886,75,11,1
139,305,11,3
1723,31,11,4
1634,1053,11,2
1279,5,11,4
31,4495,11,3
204,86,11,6
542,194,11,4
2579,62,11,5
194,75,10,9
264,237,10,5
31,134,10,7
271,31,10,7
305,139,10,3
516,75,10,8
105,75,10,4
5,210,10,2
104,5,10,6
75,516,10,6
570,5,10,5
274,104,10,6
67,280,10,5
5,1279,10,4
1959,31,10,5
487,31,10,3
59,860,10,3
