MMSI,trajectory_id,feature_order,feature_idx_in_traj,LON,LAT,gamma
255806123,255806123_0,0,0,-68.08933,43.45205,0.02
255806123,255806123_0,1,1,-70.25698,43.64747,0.02
255806123,255806123_0,2,10,-67.69126,43.41912,0.02
255806123,255806123_0,3,11,-67.779,43.42475,0.02
305411000,305411000_0,0,0,-70.25692,43.64743,0.02
305411000,305411000_0,1,27,-70.25705,43.64745,0.02
316028326,316028326_0,0,0,-68.43782,43.91448,0.02
316028326,316028326_0,1,4,-67.99996,43.91633,0.02
316028326,316028326_0,2,8,-68.23607,43.9055,0.02
319160000,319160000_0,0,0,-68.32082,44.27428,0.02
319160000,319160000_0,1,26,-68.32082,44.27427,0.02
338075892,338075892_0,0,0,-70.25302,43.6532,0.02
338075892,338075892_0,1,72,-70.25303,43.65318,0.02
338205116,338205116_0,0,0,-68.50887,43.99662,0.02
338205116,338205116_0,1,2,-68.67823,44.14896,0.02
338205116,338205116_0,2,4,-68.412,43.79894,0.02
338205116,338205116_0,3,5,-68.6736,44.14855,0.02
338205116,338205116_0,4,9,-68.5568,44.06444,0.02
338247438,338247438_0,0,0,-70.0879,43.08849,0.02
338247438,338247438_0,1,7,-70.11832,43.03936,0.02
338247438,338247438_0,2,8,-70.08951,43.08727,0.02
357213000,357213000_0,0,0,-68.89625,44.4506,0.02
357213000,357213000_0,1,15,-69.00828,44.03545,0.02
357213000,357213000_0,2,16,-68.87295,43.9273,0.02
357213000,357213000_0,3,18,-69.00867,44.16077,0.02
357213000,357213000_0,4,20,-69.00885,44.07532,0.02
357213000,357213000_0,5,22,-68.89622,44.45057,0.02
357213000,357213000_0,6,26,-69.00017,44.22333,0.02
366909530,366909530_0,0,0,-70.24794,43.65765,0.02
366909530,366909530_0,1,73,-70.24792,43.65765,0.02
366950450,366950450_0,0,0,-70.17993,43.68386,0.02
366950450,366950450_0,1,2,-70.11284,43.69508,0.02
366950450,366950450_0,2,4,-70.13476,43.71182,0.02
366950450,366950450_0,3,11,-70.24822,43.65644,0.02
366950450,366950450_0,4,18,-70.12662,43.71636,0.02
366950450,366950450_0,5,19,-70.11015,43.69503,0.02
366950450,366950450_0,6,24,-70.1278,43.71587,0.02
366950450,366950450_0,7,36,-70.24836,43.65649,0.02
366950450,366950450_0,8,41,-70.13361,43.713,0.02
366950450,366950450_0,9,44,-70.21281,43.66045,0.02
366950450,366950450_0,10,45,-70.11016,43.69506,0.02
366950450,366950450_0,11,49,-70.12982,43.71492,0.02
366950450,366950450_0,12,61,-70.24827,43.65646,0.02
366950450,366950450_0,13,66,-70.11015,43.69507,0.02
366953940,366953940_0,0,0,-69.10142,44.11229,0.02
366953940,366953940_0,1,47,-69.06198,44.09947,0.02
366953940,366953940_0,2,67,-69.10143,44.11235,0.02
366994920,366994920_0,0,0,-69.10239,44.10446,0.02
366994920,366994920_0,1,6,-68.87027,43.92759,0.02
366994920,366994920_0,2,9,-68.95878,43.98616,0.02
366994920,366994920_0,3,14,-69.03131,44.08731,0.02
366994920,366994920_0,4,65,-69.10246,44.10445,0.02
366999528,366999528_0,0,0,-69.10148,44.10437,0.02
366999528,366999528_0,1,5,-69.10148,44.10437,0.02
366999971,366999971_0,0,0,-68.80445,44.5725,0.02
366999971,366999971_0,1,40,-68.31291,44.27486,0.02
367046090,367046090_0,0,0,-70.28408,43.64041,0.02
367046090,367046090_0,1,30,-70.28412,43.64042,0.02
367073740,367073740_0,0,0,-69.71827,42.86943,0.02
367073740,367073740_0,1,3,-70.02209,42.92228,0.02
367073740,367073740_0,2,8,-69.72769,42.87079,0.02
367073740,367073740_0,3,10,-69.92092,42.92388,0.02
367077480,367077480_0,0,0,-70.54071,42.65212,0.02
367077480,367077480_0,1,7,-70.2534,43.65145,0.02
367077480,367077480_0,2,22,-69.98183,43.47802,0.02
367077480,367077480_0,3,28,-70.17212,43.59737,0.02
367077480,367077480_0,4,29,-70.05535,43.51833,0.02
367077480,367077480_0,5,30,-70.16903,43.59517,0.02
367077480,367077480_0,6,32,-70.08027,43.53177,0.02
367092720,367092720_0,0,0,-68.7064,43.48071,0.02
367092720,367092720_0,1,2,-68.68125,43.48735,0.02
367092720,367092720_0,2,3,-69.69313,43.28058,0.02
367092720,367092720_0,3,5,-67.85176,43.72821,0.02
367092720,367092720_0,4,7,-67.62329,43.89864,0.02
367092720,367092720_0,5,8,-67.62566,43.86793,0.02
367092720,367092720_0,6,10,-67.62399,43.89548,0.02
367092720,367092720_0,7,15,-69.8376,43.25151,0.02
367092720,367092720_0,8,17,-68.62833,43.50102,0.02
367092720,367092720_0,9,31,-70.03741,43.19328,0.02
367092720,367092720_0,10,32,-68.714,43.47838,0.02
367104150,367104150_0,0,0,-70.41567,42.99436,0.02
367104150,367104150_0,1,9,-70.548,43.01808,0.02
367104150,367104150_0,2,11,-70.38989,42.98974,0.02
367104150,367104150_0,3,12,-70.44442,42.99942,0.02
367104150,367104150_0,4,13,-70.424,42.99585,0.02
367104160,367104160_0,0,0,-70.22143,42.87546,0.02
367104160,367104160_0,1,1,-70.15603,42.85257,0.02
367104160,367104160_0,2,2,-70.32738,42.91322,0.02
367104160,367104160_0,3,13,-70.02303,42.80506,0.02
367104160,367104160_0,4,15,-70.25293,42.88669,0.02
367104180,367104180_0,0,0,-70.02578,42.87139,0.02
367104180,367104180_0,1,6,-69.85024,42.82418,0.02
367104180,367104180_0,2,8,-69.9724,42.85718,0.02
367128260,367128260_0,0,0,-70.25419,43.65132,0.02
367128260,367128260_0,1,23,-70.25419,43.65132,0.02
367145750,367145750_0,0,0,-69.00503,44.28064,0.02
367145750,367145750_0,1,22,-68.96411,44.24821,0.02
367146360,367146360_0,0,0,-70.2482,43.65801,0.02
367146360,367146360_0,1,71,-70.2481,43.65795,0.02
367160010,367160010_0,0,0,-70.59004,42.47393,0.02
367160010,367160010_0,1,4,-70.47509,42.53225,0.02
367160010,367160010_0,2,5,-70.52243,42.51115,0.02
367191630,367191630_0,0,0,-68.97307,44.2762,0.02
367191630,367191630_0,1,1,-68.94293,44.28062,0.02
367191630,367191630_0,2,10,-69.00531,44.28055,0.02
367300850,367300850_0,0,0,-70.65183,42.61283,0.02
367300850,367300850_0,1,20,-70.20717,42.53541,0.02
367300850,367300850_0,2,59,-70.65189,42.61284,0.02
367340680,367340680_0,0,0,-70.24767,43.65618,0.02
367340680,367340680_0,1,32,-70.21809,43.65644,0.02
367352890,367352890_0,0,0,-70.58398,42.44485,0.02
367352890,367352890_0,1,6,-70.64052,42.42579,0.02
367368820,367368820_0,0,0,-70.24794,43.65799,0.02
367368820,367368820_0,1,52,-70.21659,43.65961,0.02
367368820,367368820_0,2,53,-70.24794,43.658,0.02
367370780,367370780_0,0,0,-68.55193,43.57271,0.02
367370780,367370780_0,1,2,-67.57471,43.9939,0.02
367370780,367370780_0,2,3,-68.71966,43.49011,0.02
367370780,367370780_0,3,8,-67.56618,43.99693,0.02
367370780,367370780_0,4,12,-67.20166,44.10284,0.02
367370780,367370780_0,5,14,-67.44985,44.03556,0.02
367375970,367375970_0,0,0,-69.10773,44.10771,0.02
367375970,367375970_0,1,3,-68.89824,44.12494,0.02
367375970,367375970_0,2,6,-69.10138,44.10753,0.02
367375970,367375970_0,3,10,-68.92436,44.10554,0.02
367375970,367375970_0,4,11,-68.96118,44.09616,0.02
367375970,367375970_0,5,12,-68.8733,44.1264,0.02
367375970,367375970_0,6,15,-69.10773,44.10773,0.02
367375970,367375970_0,7,19,-68.8877,44.1266,0.02
367393830,367393830_0,0,0,-69.1032,44.09388,0.02
367393830,367393830_0,1,65,-69.10316,44.09385,0.02
367401670,367401670_0,0,0,-70.24922,43.65717,0.02
