source_port,target_port,transition_count,unique_vessels
22,154,337,94
154,22,335,95
0,145,77,22
145,0,77,22
99,2,66,16
145,134,62,16
2,99,61,16
134,145,58,16
29,154,54,17
154,29,53,15
154,10,52,10
10,154,51,9
19,57,43,8
57,19,41,8
154,53,41,16
20,3,40,9
53,154,40,17
29,22,37,14
22,29,35,12
3,20,35,10
69,80,32,7
80,69,30,6
172,70,29,8
70,172,27,7
19,67,26,10
29,194,26,11
67,19,25,10
194,29,24,10
99,84,23,6
29,115,23,9
115,29,23,9
22,53,22,7
53,22,22,7
15,154,22,7
84,99,21,6
154,15,21,6
86,53,20,7
73,33,19,6
53,86,19,6
22,15,19,4
227,87,18,5
100,103,18,2
69,53,18,4
90,23,18,4
53,29,18,7
103,100,18,2
33,73,18,6
48,67,18,6
15,22,17,4
53,7,17,4
29,141,17,6
87,227,16,4
67,48,16,8
172,53,16,5
36,195,16,6
53,69,16,4
23,90,15,4
22,194,15,3
20,19,15,8
19,96,15,5
7,53,15,4
99,73,15,6
73,99,15,6
29,53,15,7
145,60,15,2
53,172,15,5
96,19,14,5
19,20,14,7
53,10,14,2
141,29,14,5
99,35,14,2
131,244,14,4
10,53,14,2
3,67,13,4
60,145,13,2
53,52,13,2
195,36,13,5
172,29,13,5
28,99,13,3
194,22,13,3
67,20,13,7
99,28,13,3
29,172,13,5
22,10,13,5
35,99,13,2
244,131,13,4
52,53,12,2
76,254,12,2
53,70,12,3
69,154,12,2
16,18,12,2
73,2,12,3
2,73,12,3
78,149,12,3
70,53,11,3
67,46,11,4
99,33,11,5
87,73,11,5
46,67,11,4
0,203,11,3
154,69,11,2
212,160,11,1
145,73,11,3
160,212,11,1
18,16,11,2
15,10,11,2
33,99,10,4
271,239,10,1
67,3,10,4
58,190,10,2
17,78,10,2
15,53,10,3
254,76,10,2
190,58,10,2
195,188,10,1
239,271,10,1
48,19,10,5
108,110,10,1
53,15,10,3
144,75,10,1
20,67,10,6
115,194,10,3
149,78,10,2
141,154,10,4
19,48,10,4
53,149,10,2
10,15,10,2
20,40,10,4
75,144,10,1
237,165,9,1
48,5,9,3
194,115,9,2
270,231,9,2
188,195,9,1
252,176,9,2
68,59,9,2
