source_port,target_port,transition_count,unique_vessels
37,70,536,158
70,37,536,160
105,116,360,123
116,105,335,119
105,2559,173,57
2559,105,171,60
334,105,149,64
105,334,145,70
116,334,121,53
334,116,121,53
89,105,97,41
2331,180,94,41
180,2331,83,39
37,356,81,34
105,89,79,38
356,37,77,35
116,529,77,30
529,116,75,31
116,70,72,36
70,78,70,27
413,116,70,29
70,116,69,32
70,221,67,29
78,70,66,27
116,413,64,30
221,70,62,26
70,112,53,21
116,237,51,23
89,116,50,19
116,424,49,18
105,77,49,23
237,116,48,24
70,105,46,22
116,89,44,19
112,70,42,20
77,105,42,20
424,116,42,12
105,70,40,19
113,70,38,18
673,70,38,11
70,673,37,12
413,105,35,23
2559,116,33,15
116,2559,32,16
70,772,32,15
70,29,32,16
29,70,32,18
89,77,32,17
70,113,32,14
105,413,31,20
70,172,31,18
77,89,31,17
180,160,29,20
116,115,29,21
105,849,29,13
172,70,28,17
772,70,27,12
68,116,26,9
849,105,26,15
334,89,26,13
115,116,26,17
116,68,25,9
68,112,25,14
112,68,25,12
70,237,25,16
2331,160,24,14
160,180,24,17
237,70,24,15
252,3279,24,6
105,765,23,13
89,180,23,10
116,846,23,15
2331,77,23,10
3048,287,23,5
529,105,22,12
180,89,22,10
70,68,22,15
116,849,22,15
2559,334,22,14
116,772,22,10
160,2331,21,12
105,529,21,8
167,116,21,12
583,72,21,10
70,50,21,9
287,3048,21,5
1102,105,21,9
356,116,21,13
364,37,21,13
45,70,21,6
37,4,20,13
919,285,20,3
72,583,20,7
285,919,20,3
772,116,20,13
3279,252,20,7
849,116,20,14
846,116,20,12
105,1352,20,14
116,37,20,16
37,1329,20,14
89,334,20,10
45,307,19,7
1104,99,19,8
37,364,19,12
765,105,19,10
116,1352,19,10
116,246,19,14
70,628,19,8
89,2331,19,10
99,1104,19,9
37,237,18,9
334,2559,18,14
77,2331,18,10
307,45,18,8
157,37,18,13
2331,89,18,10
116,356,18,9
116,167,18,11
37,293,18,7
68,70,18,11
237,68,18,5
424,37,18,8
1352,105,18,12
1409,70,18,8
180,105,17,7
37,105,17,10
68,237,17,5
628,70,17,9
70,45,17,5
501,52,17,6
105,115,17,6
116,1547,17,10
29,113,17,11
3763,37,17,8
105,1102,17,9
52,501,17,5
70,1409,16,7
37,116,16,12
116,99,16,11
105,37,16,9
737,82,16,8
15,113,16,11
113,29,16,12
105,180,16,7
50,70,16,8
68,772,16,9
185,70,16,10
772,68,16,9
246,116,16,11
184,307,15,8
424,70,15,7
78,116,15,8
1329,37,15,9
334,413,15,12
70,185,15,9
1352,116,15,10
105,1701,15,6
99,116,15,9
160,2114,15,6
37,3763,15,7
1409,116,15,10
293,37,15,7
1352,334,15,11
37,157,15,11
116,78,15,7
237,37,15,12
4,37,15,10
68,4,15,7
337,116,14,8
334,529,14,8
237,337,14,13
2114,160,14,6
424,105,14,7
68,37,14,11
37,131,14,6
241,70,14,7
116,1409,14,11
337,237,14,11
1102,77,14,5
71,105,14,6
1701,105,14,5
1571,37,14,2
131,37,14,9
412,37,14,7
221,29,14,11
131,70,14,4
78,241,14,6
29,221,14,10
1012,180,13,8
105,705,13,5
1943,69,13,9
275,252,13,5
4,116,13,3
105,71,13,6
115,70,13,8
70,307,13,7
1547,70,13,9
70,131,13,3
115,105,13,4
82,737,13,8
1104,116,13,10
237,424,12,5
37,1571,12,2
37,412,12,8
70,106,12,6
116,11,12,8
691,25,12,6
424,356,12,3
70,1377,12,8
852,2331,12,7
583,70,12,10
25,691,12,6
3993,116,12,12
105,424,12,9
180,1012,12,6
11,116,12,8
116,3993,12,11
112,109,11,6
705,105,11,5
