MMSI,trajectory_id,feature_order,feature_idx_in_traj,LON,LAT,gamma
36968098,36968098_0,0,0,-84.33874,46.5007,0.001
36968098,36968098_0,1,40,-84.33874,46.5007,0.001
67649790,67649790_0,0,0,-87.54007,41.72427,0.001
67649790,67649790_0,1,61,-87.54011,41.72429,0.001
244283000,244283000_0,0,0,-82.80388,42.42959,0.001
244283000,244283000_0,1,1,-82.41224,43.73965,0.001
244283000,244283000_0,2,2,-82.41226,43.74464,0.001
244283000,244283000_0,3,3,-82.81248,42.42388,0.001
244283000,244283000_0,4,4,-82.41224,43.70734,0.001
244283000,244283000_0,5,5,-82.41235,43.67193,0.001
244283000,244283000_0,6,6,-83.10921,42.2606,0.001
244283000,244283000_0,7,7,-83.84347,43.62091,0.001
244283000,244283000_0,8,8,-82.80815,42.42675,0.001
244283000,244283000_0,9,10,-83.84347,43.62089,0.001
244283000,244283000_0,10,22,-83.63005,43.98984,0.001
244283000,244283000_0,11,23,-83.10921,42.26058,0.001
244283000,244283000_0,12,26,-83.84346,43.6209,0.001
303457000,303457000_0,0,0,-83.07169,42.31326,0.001
303457000,303457000_0,1,1,-83.13467,42.19047,0.001
303457000,303457000_0,2,2,-83.13053,42.22898,0.001
303457000,303457000_0,3,3,-83.09967,42.28574,0.001
303457000,303457000_0,4,4,-84.67137,46.61885,0.001
303457000,303457000_0,5,7,-84.67272,46.61847,0.001
303457000,303457000_0,6,9,-84.66452,46.59386,0.001
303457000,303457000_0,7,11,-84.67136,46.61893,0.001
303457000,303457000_0,8,14,-84.64451,46.54614,0.001
303457000,303457000_0,9,17,-84.63439,46.52561,0.001
303457000,303457000_0,10,18,-84.62328,46.51235,0.001
303457000,303457000_0,11,19,-84.55667,46.45992,0.001
303457000,303457000_0,12,20,-82.75897,42.45913,0.001
303457000,303457000_0,13,26,-82.89863,42.36598,0.001
303457000,303457000_0,14,29,-82.94015,42.35175,0.001
303457000,303457000_0,15,30,-82.97228,42.3339,0.001
303457000,303457000_0,16,31,-83.02123,42.32814,0.001
303457000,303457000_0,17,32,-84.67123,46.61905,0.001
303457000,303457000_0,18,36,-83.09553,42.29174,0.001
303457000,303457000_0,19,37,-83.77781,45.49146,0.001
303457000,303457000_0,20,38,-84.74157,46.59702,0.001
303457000,303457000_0,21,39,-84.76114,46.61193,0.001
303457000,303457000_0,22,40,-84.82661,46.6767,0.001
303457000,303457000_0,23,41,-84.8735,46.7258,0.001
303457000,303457000_0,24,42,-84.6634,46.59069,0.001
303457000,303457000_0,25,45,-84.65126,46.56002,0.001
303457000,303457000_0,26,47,-87.3718,46.57106,0.001
303457000,303457000_0,27,55,-84.67124,46.61897,0.001
303457000,303457000_0,28,57,-84.67652,46.61761,0.001
303457000,303457000_0,29,59,-84.675,46.61701,0.001
303583000,303583000_0,0,0,-84.47016,45.64956,0.001
303583000,303583000_0,1,4,-83.65343,45.45616,0.001
303583000,303583000_0,2,5,-83.4945,45.39893,0.001
303583000,303583000_0,3,11,-84.07777,45.6102,0.001
303583000,303583000_0,4,15,-83.97947,45.5742,0.001
303583000,303583000_0,5,16,-82.42089,42.95705,0.001
303583000,303583000_0,6,18,-83.17634,45.16704,0.001
303583000,303583000_0,7,19,-83.18671,45.1749,0.001
303583000,303583000_0,8,20,-83.97075,45.57093,0.001
303583000,303583000_0,9,21,-83.95146,45.56386,0.001
303583000,303583000_0,10,22,-86.15922,45.77503,0.001
303583000,303583000_0,11,23,-86.16391,45.77349,0.001
303583000,303583000_0,12,24,-83.28899,45.25158,0.001
303583000,303583000_0,13,25,-83.23484,45.21159,0.001
303583000,303583000_0,14,26,-83.67969,45.46566,0.001
303583000,303583000_0,15,33,-83.93762,45.55873,0.001
303583000,303583000_0,16,34,-83.78495,45.50356,0.001
303583000,303583000_0,17,35,-83.79934,45.50877,0.001
303583000,303583000_0,18,37,-82.42091,42.95705,0.001
303583000,303583000_0,19,40,-83.33103,45.28473,0.001
303583000,303583000_0,20,41,-83.37655,45.32074,0.001
316001002,316001002_0,0,0,-82.3574,42.9595,0.001
316001002,316001002_0,1,31,-82.35741,42.95949,0.001
316001096,316001096_0,0,0,-79.85283,43.276,0.001
316001096,316001096_0,1,20,-79.85283,43.27598,0.001
316001101,316001101_0,0,0,-83.26252,45.23457,0.001
316001101,316001101_0,1,2,-83.33315,45.29,0.001
316001101,316001101_0,2,3,-84.37424,46.51395,0.001
316001101,316001101_0,3,4,-83.27785,45.24709,0.001
316001101,316001101_0,4,5,-82.57534,42.56997,0.001
316001101,316001101_0,5,6,-82.72216,42.49009,0.001
316001101,316001101_0,6,8,-82.76041,42.45951,0.001
316001101,316001101_0,7,10,-82.80079,42.43167,0.001
316001101,316001101_0,8,11,-83.07437,44.99631,0.001
316001101,316001101_0,9,20,-83.1296,45.11606,0.001
316001101,316001101_0,10,22,-84.37423,46.51394,0.001
316001101,316001101_0,11,25,-83.12514,44.27767,0.001
316001101,316001101_0,12,26,-84.02586,46.08003,0.001
316001101,316001101_0,13,27,-83.12135,44.25741,0.001
316001101,316001101_0,14,29,-83.11431,44.22057,0.001
316001101,316001101_0,15,30,-83.11663,44.23255,0.001
316001101,316001101_0,16,32,-83.11474,44.22281,0.001
316001101,316001101_0,17,33,-83.07632,44.16338,0.001
316001101,316001101_0,18,34,-83.07896,44.16417,0.001
316001101,316001101_0,19,35,-83.07322,44.16248,0.001
316001101,316001101_0,20,36,-84.37423,46.51393,0.001
316001101,316001101_0,21,37,-83.13635,45.12938,0.001
316001101,316001101_0,22,40,-83.14743,45.14106,0.001
316001101,316001101_0,23,41,-83.17422,45.1639,0.001
316001101,316001101_0,24,46,-83.23394,45.21183,0.001
316001101,316001101_0,25,50,-84.37422,46.51395,0.001
316001434,316001434_0,0,0,-79.80304,43.29874,0.001
316001434,316001434_0,1,27,-79.80306,43.29875,0.001
316001698,316001698_0,0,0,-79.24832,42.87967,0.001
316001698,316001698_0,1,64,-79.24819,42.8796,0.001
316001834,316001834_0,0,0,-81.54562,45.5906,0.001
316001834,316001834_0,1,1,-81.54416,45.57735,0.001
316001834,316001834_0,2,2,-81.54457,45.58149,0.001
316001834,316001834_0,3,3,-81.5532,45.51773,0.001
316001834,316001834_0,4,5,-81.59607,45.3275,0.001
316001834,316001834_0,5,6,-81.54603,45.54947,0.001
316001834,316001834_0,6,7,-81.64311,45.31953,0.001
316001834,316001834_0,7,8,-81.75892,45.33232,0.001
316001834,316001834_0,8,9,-81.83868,45.31143,0.001
