port_id,lat,lon,area_deg2,stationary_points
3,29.381202918210104,-92.32709953183955,12.71227992715,21685
16,26.003204006632053,-80.14991991138437,0.06287125904999993,5157
14,26.806448422142513,-80.05773481707877,0.0026575137500010554,2390
5,27.671672840681904,-96.95196478601449,0.30075695850000195,1697
7,30.32286158342699,-87.97109119483484,1.4248503389499962,1947
0,27.790473906369066,-82.75331773287553,0.21271923530000164,1196
12,28.09825655431583,-80.53429338636664,0.054241993549997446,215
24,25.312365674509188,-80.28023539678263,3.525649999981957e-06,200
4,29.951094956698576,-81.47429153693497,1.9302700000515583e-05,38
11,30.614625920517405,-81.39393248540289,0.17617168604999894,629
28,24.560816116318644,-81.78089415621282,0.0007999847000000545,215
27,28.837889855072465,-81.33519252173913,5.750000000168598e-09,32
10,26.114834756864106,-97.26211526892465,0.07206765919999865,66
21,30.08271004514877,-85.7282269574178,0.007184868350000013,216
13,27.246167105009253,-90.43599302976635,0.1622310594499998,39
18,28.946923116351485,-82.80399047126961,8.857344999961027e-05,18
29,26.52520455324711,-78.77177671442284,8.015019999994627e-05,6
8,28.98154575177464,-93.25563467970399,7.458074999988936e-05,5
1,25.448679968649806,-79.22783662078365,2.2397549999747934e-05,15
15,27.79524572139303,-90.6479262686567,1.339999999966043e-08,23
6,28.19123,-88.49526666666665,1.7999999996505495e-09,4
25,28.15390586021505,-89.10363650537636,1.2399999999594035e-08,10
26,26.091700000000003,-79.11607333333333,4.0340000000548096e-07,5
22,29.399597755235458,-91.81659582036936,0.00017745900000062042,14
23,26.129375,-94.898345,9.999999990361061e-11,6
9,26.714451011164275,-82.23355796810209,5.2249999996559e-08,13
20,26.694946448243115,-90.5081882051282,1.7549999998369215e-08,6
