trial,gamma,k,r,neighbor_mode,min_dense_points,trajectories,original_points,feature_points,compression_rate_dr,distance_similarity_dl,ld_score,cluster_coverage,n_clusters,largest_cluster_points,largest_cluster_share,nodes,edges,transitions,score,runtime_sec,rss_mb,trial_dir,feature_points_csv,map_html
8,0.05,500,0.0003,8,,237,11305,1455,0.871295886775763,0.933533003557739,1.8048288903335021,1.0,435,71,0.04879725085910653,72,291,482,1.152880425794514,0.7158845000085421,165.08203125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p05,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p05\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p05\nlsn_map.html
7,0.02,500,0.0003,8,,237,11305,1743,0.8458204334365325,0.9576692082533972,1.8034896416899295,1.0,457,168,0.0963855421686747,84,329,564,1.1395984584050356,0.8100168000091799,165.62109375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p02,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p02\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p02\nlsn_map.html
6,0.01,500,0.0003,8,,237,11305,1997,0.8233524988942946,0.9690496822307292,1.792402181125024,1.0,466,229,0.11467200801201803,100,380,658,1.125694849171858,0.5957440999918617,165.68359375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p01,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p01\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p01\nlsn_map.html
5,0.005,500,0.0003,8,,237,11305,2202,0.805218929677134,0.9776380600427578,1.7828569897198918,1.0,469,286,0.1298819255222525,114,407,716,1.1134471358274172,1.6256804000004195,165.68359375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p005,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p005\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p005\nlsn_map.html
4,0.002,500,0.0003,8,,237,11305,2590,0.7708978328173375,0.9816780596412211,1.7525758924585586,1.0,469,388,0.1498069498069498,122,434,746,1.0966279801014396,1.371476000000257,165.4921875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p002,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p002\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p002\nlsn_map.html
3,0.001,500,0.0003,8,,237,11305,2885,0.7448031844316674,0.9825432237312881,1.7273464081629555,1.0,474,643,0.22287694974003466,124,441,716,1.074663006608204,1.1341453000204638,166.92578125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p001,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p001\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p001\nlsn_map.html
2,0.0005,500,0.0003,8,,237,11305,3139,0.7223352498894294,0.9835707839869595,1.705906033876389,1.0,475,747,0.23797387703090156,127,451,720,1.063547914963716,1.128930400009267,165.9296875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p0005,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p0005\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p0005\nlsn_map.html
1,0.0001,500,0.0003,8,,237,11305,3919,0.6533392304290138,0.9902538641849277,1.6435930946139414,0.8152589946414902,244,760,0.2378716744913928,107,356,615,1.0107948387466388,2.3078404999687336,164.2890625,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p0001,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p0001\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_2\NLSN_Extraction\results\gamma_0p0001\nlsn_map.html
