port_id,lat,lon,feature_points,area_deg2
0,35.045351195561935,-90.91632576703847,4025,3.445575441599981
18,36.98219220887691,-88.73669501654955,3705,0.6254850219000004
29,38.37929546336555,-90.11225649077745,2466,0.4278650186999963
17,41.565154492639614,-88.20479070063934,1683,0.46250896789999635
6,37.871933819286795,-87.51884461227203,967,0.09486155160000043
24,32.3860003860617,-91.04457801399091,944,0.10821318785000059
5,32.8094823199646,-87.8539815765986,912,0.3760478204500015
12,38.549736111131985,-82.72803744274572,818,0.07242090650000116
16,38.353246901571346,-85.6819004540919,804,0.09909862744999683
26,38.95925002310254,-84.40637679006505,757,0.15698495875000476
21,31.265993467027837,-91.57076392157285,628,0.08590499560000187
4,31.441996889505134,-88.02868047704327,483,0.11528444454999778
22,33.9217628728474,-88.36603239290562,464,0.3013806480500111
38,39.963552535332084,-90.44429632166512,290,0.05326589405000046
31,38.79739696931209,-84.93463548378308,236,0.02724874884999921
47,36.208393343548366,-86.76594299558336,212,0.024110844150000286
25,42.082903923671864,-83.1319724502312,211,0.18270315945000465
7,35.241940689905235,-93.09601067506811,197,0.06163072305000219
59,37.909168854715915,-86.64793579536611,169,0.018381444799999706
9,36.39161369008447,-87.24134213891706,169,0.02145019650000107
33,40.641475801443256,-89.65463101990882,163,0.020940151349999145
41,45.82883828993383,-83.75156787164723,147,0.044948979349997906
15,34.781011416219634,-87.61766729476334,107,0.028305078449998966
50,39.0233170391142,-90.56620563680417,85,0.01431897270000034
76,31.438967929425907,-92.69707106395396,70,0.0017532295500002374
27,37.56307083046869,-87.38033423083829,64,0.0056377531999999815
13,31.22702763835276,-91.9958169031476,62,0.023916749699999656
72,35.383672138074914,-93.70445064312965,60,0.0019905755500004164
36,35.097110005580824,-92.56230237873658,59,0.0018647180999998994
44,42.77914359798835,-82.48169675406591,58,0.0048259566999994995
34,43.071234496923765,-87.86277800986015,48,0.006735923350000083
55,35.08366927567187,-85.25514704257351,42,0.0043584313999993855
3,45.091478272020325,-83.13417524320516,34,0.011794970850001352
30,34.70461218765398,-87.13931030905673,33,0.0033119307500006643
19,34.519069353691435,-86.52701232086008,32,0.0017847566500002
28,31.478732482554353,-91.84338667113661,26,0.0016033008500002616
39,36.798118765180455,-88.13395654022533,21,0.0013902518499999989
69,37.47084471447836,-87.13983872664292,21,0.0019831718999998747
54,45.04772647290182,-83.3897702040819,21,0.00042033939999983717
32,31.291450782170855,-92.4186999099691,21,0.003134755000000539
73,43.06760912970649,-86.21378819100491,20,5.888434999989369e-05
42,45.33347853665385,-85.30397756246485,19,0.000769043949999654
23,44.90705634446792,-87.17798821111059,18,0.005804255449998933
51,45.838823248447106,-84.7106748616518,17,0.003183201849999937
2,43.84745429505542,-86.56926298287435,16,0.005962123250000385
48,45.42671452512339,-83.43735401460849,16,0.008916569099999612
88,36.32564431646549,-86.41707577016571,14,3.5995500000220145e-06
58,45.22707710316502,-87.32818864907088,13,0.0064438110500011515
67,45.3166464229661,-86.95626395389922,13,0.00032561679999984565
74,45.765698897610655,-84.55061994949304,13,0.0002158712499998332
53,45.60906333333333,-86.33283333333333,12,0.0040777216999997815
56,45.01421392957254,-85.60131699838806,12,0.00035709884999997614
94,35.04183753041564,-85.53962694194828,12,6.574055000010011e-05
89,42.58665239622815,-87.80895777603156,11,2.16340000001568e-06
35,43.101707407655425,-86.55220812303973,11,6.400615000048229e-05
78,34.83222837969391,-85.8006148780756,11,0.0001481000000002089
92,39.92286948221473,-91.41781790347727,11,1.8385999999979244e-06
20,44.70233017337607,-86.3528212149271,11,0.0018352993999994661
109,31.633386792470894,-91.81085362853327,9,3.6551500000066328e-06
83,40.38856938636596,-91.39005151859638,9,5.0219400000081006e-05
57,44.56861237686853,-87.29997253547472,9,0.0006552412000003182
80,44.51025534062664,-88.01979072807084,8,3.9529349999933916e-05
77,41.61502377571152,-87.32519396731472,8,5.915000000678354e-08
43,35.78099577080264,-84.66952424314812,8,0.0008401698999998551
49,44.472957033800604,-83.16858050621839,8,8.175490000059166e-05
64,44.828589360835586,-87.36873990533596,8,0.0002377672000000372
96,44.82845776292961,-87.71304942046972,7,8.500850000005292e-06
37,35.7868021248348,-84.25081967051038,7,3.3041000000059913e-06
68,42.76133073258179,-86.21916452916167,7,0.00043009349999991657
46,44.09866171793519,-87.65799991797032,7,5.68900000038775e-07
98,45.01981117915365,-86.22685249818046,6,0.0007554129999996966
1,45.660786069041855,-83.88874043271048,6,0.0020376666500002134
93,37.684456413032095,-89.51451683699035,6,8.022960000008997e-05
70,44.99151589226123,-83.24220169980069,6,6.715904999997771e-05
91,45.78291333333334,-85.15056666666666,5,0.0001468919999999976
8,41.51449908382066,-90.50382463937623,4,1.1115000003457206e-07
87,44.632307233054874,-92.63716109563613,4,6.282500000150292e-07
65,43.61966346715316,-83.84295416058389,4,5.480000000579846e-08
61,45.65063826086962,-84.46984884057969,4,7.245000001000428e-08
102,45.468968323449715,-83.67141195860509,4,8.62875999998701e-05
71,43.94715333333333,-86.44985000000001,4,2.500000000165983e-09
107,44.438816825981775,-83.06551019607791,4,2.448000000135743e-07
97,45.93320044176707,-85.84911610441767,4,3.735000000008525e-08
79,45.87644,-84.35122666666668,4,3.4631500000289288e-06
100,41.893370000000004,-82.98581333333334,4,0.0007116727499998361
90,39.438404999999996,-91.031115,4,3.0999999989126294e-09
63,41.45537000000001,-90.71647333333334,4,2.999999999062311e-10
82,39.37375666666667,-90.90582666666667,4,1.4080000000021058e-07
105,39.713114149659866,-91.3555770068027,4,9.799999999684313e-09
81,45.100248000000015,-87.61733000000004,4,4.700000000638896e-08
