MMSI,trajectory_id,feature_order,feature_idx_in_traj,LON,LAT,gamma
270995,270995_0,0,0,-90.09987,35.09741,0.05
270995,270995_0,1,73,-90.09977,35.09752,0.05
67649790,67649790_0,0,0,-87.54012,41.72429,0.05
67649790,67649790_0,1,61,-87.5401,41.72429,0.05
244283000,244283000_0,0,0,-83.84343,43.62089,0.05
244283000,244283000_0,1,10,-83.10921,42.26058,0.05
244283000,244283000_0,2,13,-82.80388,42.42959,0.05
244283000,244283000_0,3,14,-83.63005,43.98984,0.05
244283000,244283000_0,4,16,-83.10921,42.2606,0.05
244283000,244283000_0,5,17,-83.63087,43.98912,0.05
244283000,244283000_0,6,22,-83.84346,43.6209,0.05
267188530,267188530_0,0,0,-90.10768,35.08995,0.05
267188530,267188530_0,1,72,-90.1077,35.08994,0.05
303457000,303457000_0,0,0,-82.85063,42.39744,0.05
303457000,303457000_0,1,2,-83.09967,42.28574,0.05
303457000,303457000_0,2,4,-83.13467,42.19047,0.05
303457000,303457000_0,3,5,-83.07169,42.31326,0.05
303457000,303457000_0,4,7,-82.97228,42.3339,0.05
303457000,303457000_0,5,8,-83.77781,45.49146,0.05
303457000,303457000_0,6,9,-83.09553,42.29174,0.05
303457000,303457000_0,7,17,-82.75897,42.45913,0.05
303583000,303583000_0,0,0,-83.37655,45.32074,0.05
303583000,303583000_0,1,2,-86.16391,45.77349,0.05
303583000,303583000_0,2,3,-83.33103,45.28473,0.05
303583000,303583000_0,3,4,-83.99312,45.57926,0.05
303583000,303583000_0,4,8,-84.47016,45.64957,0.05
303583000,303583000_0,5,11,-84.07777,45.6102,0.05
303583000,303583000_0,6,12,-84.4702,45.64955,0.05
303583000,303583000_0,7,16,-83.17634,45.16704,0.05
303583000,303583000_0,8,17,-83.4945,45.39893,0.05
303583000,303583000_0,9,28,-84.06227,45.60473,0.05
303583000,303583000_0,10,32,-83.88669,45.54023,0.05
303583000,303583000_0,11,35,-83.95146,45.56386,0.05
316001101,316001101_0,0,0,-83.12117,45.09863,0.05
316001101,316001101_0,1,4,-82.57534,42.56997,0.05
316001101,316001101_0,2,6,-83.07632,44.16338,0.05
316001101,316001101_0,3,7,-83.32199,45.28131,0.05
316001101,316001101_0,4,11,-82.72216,42.49009,0.05
316001101,316001101_0,5,15,-83.17422,45.1639,0.05
316001101,316001101_0,6,16,-83.11595,45.08793,0.05
316001101,316001101_0,7,24,-83.33315,45.29,0.05
316001101,316001101_0,8,27,-83.23394,45.21183,0.05
316001101,316001101_0,9,28,-83.11663,44.23255,0.05
316001101,316001101_0,10,29,-82.73335,42.48066,0.05
316001101,316001101_0,11,33,-83.11541,44.22637,0.05
316001101,316001101_0,12,36,-82.80079,42.43167,0.05
316001101,316001101_0,13,39,-83.09441,45.04133,0.05
316001836,316001836_0,0,0,-83.13346,42.16572,0.05
316001836,316001836_0,1,1,-83.12789,42.10276,0.05
316001836,316001836_0,2,3,-83.13614,42.28306,0.05
316001836,316001836_0,3,7,-83.13191,42.07273,0.05
316001836,316001836_0,4,9,-83.13424,42.18747,0.05
316002238,316002238_0,0,0,-87.15885,41.63598,0.05
316002238,316002238_0,1,27,-87.15887,41.63593,0.05
316002280,316002280_0,0,0,-84.12186,45.79771,0.05
316002280,316002280_0,1,1,-84.20188,45.80936,0.05
316002280,316002280_0,2,3,-87.90038,43.01469,0.05
316002280,316002280_0,3,7,-87.45954,44.02949,0.05
316002280,316002280_0,4,11,-87.37914,44.06955,0.05
316002280,316002280_0,5,12,-87.90037,43.01469,0.05
316002280,316002280_0,6,16,-87.30059,44.12298,0.05
316002280,316002280_0,7,21,-84.11852,45.79634,0.05
316002280,316002280_0,8,22,-84.01353,45.75154,0.05
316002501,316002501_0,0,0,-83.10478,42.26472,0.05
316002501,316002501_0,1,8,-83.11681,45.07405,0.05
316002501,316002501_0,2,13,-83.10478,42.26471,0.05
316002501,316002501_0,3,22,-83.90433,46.03611,0.05
316002501,316002501_0,4,29,-83.10478,42.26473,0.05
316003124,316003124_0,0,0,-82.60189,42.02664,0.05
316003124,316003124_0,1,4,-82.6019,42.02665,0.05
316003616,316003616_0,0,0,-83.10256,42.26808,0.05
316003616,316003616_0,1,74,-83.10257,42.26805,0.05
316004370,316004370_0,0,0,-83.87783,45.68683,0.05
316004370,316004370_0,1,4,-82.8595,41.88433,0.05
316004370,316004370_0,2,5,-82.92283,41.88917,0.05
316004370,316004370_0,3,7,-83.881,45.7245,0.05
316004370,316004370_0,4,8,-83.87333,45.61683,0.05
316004940,316004940_0,0,0,-83.92419,46.03339,0.05
316004940,316004940_0,1,7,-83.10454,42.26494,0.05
316004940,316004940_0,2,14,-83.88936,45.94029,0.05
316004940,316004940_0,3,19,-83.10445,42.26514,0.05
316004940,316004940_0,4,20,-83.80804,45.88015,0.05
316004940,316004940_0,5,22,-83.10454,42.26494,0.05
316004940,316004940_0,6,23,-82.47044,42.86002,0.05
316004940,316004940_0,7,27,-82.47349,42.74916,0.05
316004940,316004940_0,8,28,-82.48067,42.80383,0.05
316004940,316004940_0,9,30,-83.10454,42.26494,0.05
316009090,316009090_0,0,0,-83.134,42.167,0.05
316009090,316009090_0,1,3,-83.08333,42.30333,0.05
316009090,316009090_0,2,4,-83.12817,42.1535,0.05
316011905,316011905_0,0,0,-83.1092,42.25676,0.05
316011905,316011905_0,1,29,-83.1092,42.25677,0.05
316013215,316013215_0,0,0,-83.69368,45.75988,0.05
316013215,316013215_0,1,5,-83.55499,45.62991,0.05
316013215,316013215_0,2,6,-82.7503,41.88769,0.05
316013215,316013215_0,3,10,-82.58086,41.86833,0.05
316013215,316013215_0,4,11,-83.86612,46.02601,0.05
316013215,316013215_0,5,15,-83.72572,45.78904,0.05
316013215,316013215_0,6,16,-82.54246,41.85034,0.05
316013215,316013215_0,7,23,-83.86658,46.02598,0.05
316013215,316013215_0,8,33,-82.57658,41.8666,0.05
316013946,316013946_0,0,0,-83.08667,42.29645,0.05
316013946,316013946_0,1,24,-83.0865,42.2965,0.05
316024256,316024256_0,0,0,-83.72186,45.79862,0.05
316024256,316024256_0,1,20,-83.46281,45.52436,0.05
316024256,316024256_0,2,21,-83.47297,41.68707,0.05
316024256,316024256_0,3,22,-83.45973,45.52336,0.05
316024256,316024256_0,4,23,-83.47299,41.68708,0.05
316029000,316029000_0,0,0,-83.10909,42.2569,0.05
316029000,316029000_0,1,5,-83.69078,45.47487,0.05
316029000,316029000_0,2,6,-87.04896,43.34905,0.05
316029000,316029000_0,3,10,-87.17573,43.20456,0.05
316029000,316029000_0,4,11,-87.54233,41.71325,0.05
316029000,316029000_0,5,16,-83.88268,46.01662,0.05
316029000,316029000_0,6,19,-83.10941,42.25647,0.05
316029000,316029000_0,7,22,-87.54233,41.71323,0.05
316029000,316029000_0,8,25,-83.88315,46.02829,0.05
