port_id,lat,lon,area_deg2,stationary_points
11,43.640407333333336,-70.2841,5.250000000419619e-09,31
14,42.60871666666667,-70.6544161904762,7.000000002312163e-10,46
9,44.274865000000005,-68.31290500000001,1.0000000006348273e-10,18
4,44.274270726072615,-68.32079897689769,5.0499999998663265e-09,27
7,42.615182163742695,-70.65416789473686,2.849999999997374e-09,22
0,44.45092091661577,-68.89682737838386,2.4565000000094034e-07,40
6,42.61254241134751,-70.65203056737589,4.700000000390207e-09,29
15,43.65084465909091,-70.25449689393939,8.800000000399518e-09,25
16,43.64555939759036,-70.24845192771085,4.1500000001476335e-09,60
17,43.640975462962956,-70.26378157407407,1.7999999998992395e-09,9
3,44.428733734939755,-68.90982795180722,2.9050000000145258e-08,6
13,43.6594390909091,-70.2133875757576,4.400000000377394e-09,6
8,43.65874800104794,-70.2160678391989,5.725499999973633e-07,8
