MMSI,trajectory_id,feature_order,feature_idx_in_traj,LON,LAT,gamma
270995,270995_0,0,0,-90.09987,35.09741,0.01
270995,270995_0,1,73,-90.09977,35.09752,0.01
67649790,67649790_0,0,0,-87.54012,41.72429,0.01
67649790,67649790_0,1,61,-87.5401,41.72429,0.01
244283000,244283000_0,0,0,-83.84343,43.62089,0.01
244283000,244283000_0,1,10,-83.10921,42.26058,0.01
244283000,244283000_0,2,13,-82.80388,42.42959,0.01
244283000,244283000_0,3,14,-83.63005,43.98984,0.01
244283000,244283000_0,4,16,-83.10921,42.2606,0.01
244283000,244283000_0,5,17,-83.63087,43.98912,0.01
244283000,244283000_0,6,22,-83.84346,43.6209,0.01
267188530,267188530_0,0,0,-90.10768,35.08995,0.01
267188530,267188530_0,1,72,-90.1077,35.08994,0.01
303457000,303457000_0,0,0,-82.85063,42.39744,0.01
303457000,303457000_0,1,2,-83.09967,42.28574,0.01
303457000,303457000_0,2,4,-83.13467,42.19047,0.01
303457000,303457000_0,3,5,-83.07169,42.31326,0.01
303457000,303457000_0,4,7,-82.97228,42.3339,0.01
303457000,303457000_0,5,8,-83.77781,45.49146,0.01
303457000,303457000_0,6,9,-83.09553,42.29174,0.01
303457000,303457000_0,7,10,-82.87722,42.3799,0.01
303457000,303457000_0,8,12,-82.89863,42.36598,0.01
303457000,303457000_0,9,14,-82.94015,42.35175,0.01
303457000,303457000_0,10,17,-82.75897,42.45913,0.01
303583000,303583000_0,0,0,-83.37655,45.32074,0.01
303583000,303583000_0,1,2,-86.16391,45.77349,0.01
303583000,303583000_0,2,3,-83.33103,45.28473,0.01
303583000,303583000_0,3,4,-83.99312,45.57926,0.01
303583000,303583000_0,4,5,-83.97947,45.5742,0.01
303583000,303583000_0,5,8,-84.47016,45.64957,0.01
303583000,303583000_0,6,11,-84.07777,45.6102,0.01
303583000,303583000_0,7,12,-84.4702,45.64955,0.01
303583000,303583000_0,8,13,-83.28899,45.25158,0.01
303583000,303583000_0,9,16,-83.17634,45.16704,0.01
303583000,303583000_0,10,17,-83.4945,45.39893,0.01
303583000,303583000_0,11,28,-84.06227,45.60473,0.01
303583000,303583000_0,12,32,-83.88669,45.54023,0.01
303583000,303583000_0,13,35,-83.95146,45.56386,0.01
316001101,316001101_0,0,0,-83.12117,45.09863,0.01
316001101,316001101_0,1,4,-82.57534,42.56997,0.01
316001101,316001101_0,2,6,-83.07632,44.16338,0.01
316001101,316001101_0,3,7,-83.32199,45.28131,0.01
316001101,316001101_0,4,8,-83.11896,44.24471,0.01
316001101,316001101_0,5,9,-83.12514,44.27767,0.01
316001101,316001101_0,6,11,-82.72216,42.49009,0.01
316001101,316001101_0,7,12,-83.13998,45.13397,0.01
316001101,316001101_0,8,15,-83.17422,45.1639,0.01
316001101,316001101_0,9,16,-83.11595,45.08793,0.01
316001101,316001101_0,10,19,-83.13635,45.12938,0.01
316001101,316001101_0,11,24,-83.33315,45.29,0.01
316001101,316001101_0,12,27,-83.23394,45.21183,0.01
316001101,316001101_0,13,28,-83.11663,44.23255,0.01
316001101,316001101_0,14,29,-82.73335,42.48066,0.01
