source_port,target_port,transition_count,unique_vessels
46,287,70,20
287,46,64,22
22,2692,43,20
22,659,39,7
2692,22,39,16
22,46,39,12
659,22,37,7
621,197,37,20
46,22,36,13
197,621,35,23
92,111,32,3
111,92,31,3
40,964,28,8
43,472,25,8
189,229,25,11
58,151,24,10
1014,16,24,5
229,189,24,12
964,40,23,5
45,3,23,15
472,43,23,8
158,46,23,10
16,1014,23,5
46,158,22,10
712,114,21,7
22,151,21,14
3,45,20,13
151,58,20,9
22,3314,19,8
92,22,19,7
54,922,18,2
2032,621,18,6
3314,22,17,8
621,2032,17,6
22,92,17,7
22,572,17,8
151,22,17,11
22,3634,16,3
3634,22,16,3
22,1439,15,6
22,1992,15,4
50,22,15,5
84,90,15,5
572,22,15,7
22,50,15,5
54,942,15,7
463,46,14,6
865,45,14,8
922,54,14,2
922,189,14,6
287,158,13,12
189,922,13,5
942,54,13,5
2152,564,13,3
621,2239,13,6
1439,22,13,4
669,284,13,4
45,865,13,7
114,712,13,4
229,22,13,9
58,84,12,4
158,287,12,11
58,22,12,4
284,669,12,4
58,90,12,3
1992,22,12,4
3314,92,12,5
942,1478,12,2
564,2152,12,3
22,58,12,4
935,110,12,2
2239,621,12,6
90,84,11,4
0,810,11,8
46,463,11,6
777,58,11,1
90,487,11,4
45,2379,11,4
46,58,11,6
71,621,11,2
151,1700,11,4
110,935,11,2
22,1558,11,3
58,777,11,1
22,0,11,5
1558,22,11,4
2379,45,11,5
479,83,11,9
621,4518,10,4
508,154,10,2
621,71,10,2
151,409,10,6
167,400,10,5
151,229,10,7
84,58,10,4
736,1682,10,4
4518,621,10,4
1700,409,10,2
22,414,10,4
400,167,10,7
151,110,10,5
400,1754,10,4
287,463,10,4
43,445,10,5
43,753,10,3
445,43,9,5
90,58,9,2
106,22,9,6
409,1700,9,2
0,22,9,4
42,3890,9,1
58,158,9,6
83,479,9,8
0,428,9,8
3,865,9,6
1478,942,9,2
753,43,9,3
865,3,9,6
964,2559,9,5
22,229,9,5
629,22,9,3
600,26,9,5
549,4767,9,2
810,0,9,7
414,22,9,3
229,151,9,7
409,151,9,4
1700,151,9,4
1682,736,9,3
48,973,8,7
110,151,8,3
22,684,8,1
154,508,8,2
1754,167,8,5
2559,40,8,5
2559,964,8,2
3127,621,8,4
1142,43,8,3
684,22,8,1
487,90,8,3
666,26,8,3
0,3314,8,1
3890,42,8,1
1754,400,8,4
22,1797,8,6
26,666,8,4
4767,549,8,2
151,43,8,3
463,287,8,3
3,83,7,6
3,173,7,2
0,293,7,2
22,629,7,3
472,136,7,3
22,106,7,5
