trial,gamma,k,r,neighbor_mode,min_dense_points,trajectories,original_points,feature_points,compression_rate_dr,distance_similarity_dl,ld_score,cluster_coverage,n_clusters,largest_cluster_points,largest_cluster_share,nodes,edges,transitions,score,runtime_sec,rss_mb,trial_dir,feature_points_csv,map_html
7,0.02,1400,5e-06,4,,3975,128021,22444,0.8246850126151178,0.9244850339776759,1.7491700465927937,1.0,4869,2211,0.09851185171983604,663,2904,6727,1.0762859000983251,2.4439679000061005,376.52734375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p02,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p02\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p02\nlsn_map.html
8,0.05,1400,5e-06,4,,3975,128021,17543,0.86296779434624,0.8689841190223239,1.731951913368564,1.0,4457,1271,0.07245055007695377,558,2336,4796,1.0716637471227681,1.9891247999621555,376.265625,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p05,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p05\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p05\nlsn_map.html
6,0.01,1400,5e-06,4,,3975,128021,26629,0.7919950633099258,0.9452349978003398,1.7372300611102656,1.0,4934,3346,0.12565248413383906,728,3115,7599,1.0685234866226374,2.756185000005644,377.1328125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p01,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p01\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p01\nlsn_map.html
5,0.005,1400,5e-06,4,,3975,128021,30342,0.7629920091235032,0.9633985161463051,1.7263905252698084,1.0,4996,4319,0.142343945685848,775,3223,7909,1.06135327534874,3.2729035999509506,381.0078125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p005,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p005\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p005\nlsn_map.html
4,0.002,1400,5e-06,4,,3975,128021,34924,0.7272010060849392,0.971946861911168,1.6991478679961072,1.0,5019,5304,0.15187263772763715,872,3519,8423,1.0477512434801937,3.461313000007067,381.71875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p002,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p002\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p002\nlsn_map.html
3,0.001,1400,5e-06,4,,3975,128021,37888,0.7040485545340218,0.9773999391047964,1.6814484936388183,1.0,5061,5818,0.15355785472972974,921,3678,8708,1.0402169272897048,6.590036200010218,379.2734375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p001,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p001\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p001\nlsn_map.html
2,0.0005,1400,5e-06,4,,3975,128021,40491,0.6837159528514853,0.9803341703241971,1.6640501231756826,1.0,5115,6300,0.15559013114025338,963,3799,8860,1.0326928776978794,9.636360399948899,376.4296875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p0005,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p0005\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p0005\nlsn_map.html
1,0.0001,1400,5e-06,4,,3975,128021,47755,0.6269752618710993,0.9869964727844035,1.613971734655503,1.0,5253,7135,0.14940843890692074,1060,4025,9355,1.014789917257663,13.819774299976416,373.0,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p0001,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p0001\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_5\NLSN_Extraction\results\gamma_0p0001\nlsn_map.html
