source_port,target_port,transition_count,unique_vessels
65,37,367,98
37,65,362,94
38,51,127,30
51,38,119,30
18,195,65,15
195,18,60,14
155,18,54,16
18,155,53,15
65,15,47,10
15,65,46,10
161,30,42,11
30,161,41,11
109,65,39,11
65,109,39,12
38,65,36,13
65,38,36,13
38,242,36,11
242,38,35,11
109,37,35,11
201,72,34,10
37,109,34,11
72,201,33,9
234,72,32,11
72,234,30,10
38,160,29,8
217,174,28,8
123,29,28,7
314,72,28,7
29,123,28,7
160,38,27,8
109,136,26,10
124,95,26,7
174,217,26,8
185,109,25,8
72,314,25,6
136,109,24,10
109,185,23,7
65,153,22,7
95,124,22,7
153,65,22,7
174,134,21,5
65,185,21,6
38,21,20,3
25,109,19,5
109,25,19,6
134,174,19,5
80,386,19,2
38,123,19,4
185,65,19,6
37,153,19,4
123,38,19,5
21,38,19,3
109,85,18,4
20,174,18,4
153,37,18,4
386,80,18,2
174,20,17,4
85,109,17,4
37,38,17,4
234,121,17,7
72,67,17,5
150,155,16,6
121,72,16,5
169,246,16,4
18,327,16,2
37,136,16,3
158,101,16,6
155,150,16,5
326,2,16,5
67,72,15,5
136,37,15,3
101,158,15,6
327,18,15,2
38,37,15,5
10,72,14,6
306,36,14,6
15,51,14,2
72,10,14,6
2,326,14,3
121,234,14,6
385,364,13,1
364,385,13,1
51,15,13,2
90,53,13,4
158,217,13,3
120,174,13,2
217,158,13,3
15,37,13,5
53,90,13,4
174,299,13,3
72,161,13,7
36,306,13,6
72,310,13,2
310,72,13,2
234,191,12,4
136,85,12,3
390,169,12,2
124,109,12,4
85,136,12,3
191,234,12,4
169,390,12,2
37,15,12,5
174,101,12,4
84,2,12,4
174,120,12,2
299,174,12,3
65,25,12,4
246,169,12,4
62,287,12,1
123,65,12,2
115,442,11,2
2,84,11,4
109,124,11,4
5,38,11,2
47,207,11,2
287,62,11,1
186,89,11,3
35,17,11,2
65,123,11,2
207,47,11,2
186,97,11,2
161,72,11,6
101,174,11,3
