source_port,target_port,transition_count,unique_vessels
81,135,436,136
135,81,419,136
81,415,187,82
415,81,182,72
415,135,138,58
47,92,137,47
92,47,132,48
135,415,130,56
105,81,129,48
47,138,126,49
138,47,122,49
135,47,111,54
81,105,103,45
47,135,102,46
37,47,93,40
218,167,83,32
47,37,83,35
273,47,82,32
47,273,81,31
167,218,81,34
135,502,77,32
502,135,77,29
47,81,70,33
81,47,67,31
105,135,60,22
135,105,58,26
135,290,57,24
47,132,56,21
290,135,56,26
153,47,55,16
47,153,55,15
47,86,54,28
47,913,52,25
105,91,52,20
135,512,51,19
47,290,50,28
81,91,50,23
86,47,49,25
47,802,48,12
913,47,46,23
91,105,46,18
802,47,45,10
47,189,45,18
218,105,45,20
189,47,45,18
512,135,44,14
132,47,44,20
135,134,43,22
91,81,43,20
290,47,42,28
105,218,42,16
37,86,41,16
86,37,40,16
134,135,40,17
1301,10,38,12
502,81,38,24
135,1588,37,19
10,1301,36,12
84,132,36,15
501,47,36,16
512,47,35,14
81,218,35,17
132,84,35,12
1588,135,34,20
47,501,34,15
84,47,34,23
181,311,33,16
132,92,33,17
81,502,33,21
218,81,32,14
81,905,32,14
135,138,31,14
415,105,31,15
218,91,31,16
138,135,31,18
311,181,30,14
47,84,30,21
352,47,30,13
84,135,30,10
81,1588,30,17
81,1017,30,14
47,332,29,13
135,84,29,11
1588,81,29,16
37,273,29,16
913,84,29,15
905,81,29,11
332,47,28,13
403,47,28,15
355,3453,28,5
501,138,27,12
84,913,27,14
311,3704,27,6
105,415,27,14
273,37,27,19
135,913,27,12
138,501,27,14
823,47,27,11
167,2455,27,6
10,135,27,14
135,403,27,15
3453,355,26,5
91,218,26,14
47,352,26,14
47,823,26,13
135,280,26,15
57,347,26,8
913,135,26,15
92,132,26,17
2455,167,26,7
1017,81,26,15
3704,311,25,7
347,57,25,8
1193,218,25,9
135,1017,25,18
403,135,25,13
135,10,24,14
218,1193,24,9
47,403,24,13
47,512,23,10
1017,135,23,16
280,135,23,16
47,186,22,12
224,47,22,11
84,92,22,11
20,37,22,14
81,1987,22,6
92,84,22,13
186,47,22,14
201,135,22,14
134,47,21,12
135,1267,21,11
47,6,21,14
57,47,21,6
135,92,21,11
92,135,21,12
290,84,21,5
135,302,21,15
47,62,21,7
81,134,20,8
1987,81,20,6
37,20,19,12
47,318,19,9
84,290,19,5
135,201,19,11
132,128,19,9
290,823,19,12
1267,135,19,9
913,138,18,9
403,290,18,13
128,132,18,8
47,224,18,10
318,47,18,8
81,512,18,10
823,135,18,11
62,47,18,7
302,135,17,11
47,57,17,5
138,512,17,11
47,134,17,8
512,138,17,7
512,81,17,8
167,81,17,9
138,913,17,8
1017,415,16,13
6,47,16,11
222,347,16,8
47,347,16,6
135,823,16,12
1230,47,16,10
823,290,16,10
105,167,16,8
1734,4761,15,2
64,633,15,4
1865,81,15,5
81,1865,15,5
84,6,15,7
415,502,15,11
415,1017,15,14
64,77,15,5
4761,1734,15,2
290,403,15,13
633,64,14,4
347,47,14,6
81,585,14,11
235,34,14,7
290,138,14,8
81,304,14,10
2263,85,14,10
134,81,14,5
167,105,14,6
783,98,14,6
92,81,14,5
1588,415,14,10
304,81,14,7
37,92,14,3
1840,47,14,2
135,14,14,9
77,64,14,5
47,1840,13,2
98,783,13,6
92,37,13,4
47,1230,13,8
81,839,13,5
34,235,13,6
85,2263,13,10
341,311,13,5
4117,64,13,3
64,4117,13,3
14,135,13,8
1301,135,13,9
186,138,13,10
16,192,13,5
403,81,13,7
14,823,12,10
138,186,12,10
258,167,12,4
1138,178,12,8
192,16,12,5
290,512,12,5
81,64,12,3
81,167,12,6
6,84,12,8
167,3080,12,5
6,135,12,3
178,1138,12,9
831,1014,11,7
502,105,11,5
47,415,11,7
1083,823,11,2
91,135,11,8
311,47,11,5
6,138,11,7
