source_port,target_port,transition_count,unique_vessels
15,145,27,15
145,15,24,15
364,111,23,10
15,2309,23,15
15,39,22,6
39,15,21,9
15,111,20,14
2309,15,20,15
142,170,20,11
32,288,18,10
111,364,18,9
288,32,17,10
170,142,17,10
3587,15,15,5
111,15,15,9
2863,15,15,10
15,38,15,5
38,15,15,5
15,3587,14,5
15,1668,13,4
142,948,13,11
118,39,13,9
15,2863,12,7
1668,15,12,4
111,170,11,8
15,2149,11,4
855,920,11,2
1705,694,11,5
694,1705,10,5
39,265,10,9
39,446,10,7
948,142,10,9
2149,15,9,4
2,59,9,8
1899,694,9,6
111,315,9,5
694,1899,9,6
315,111,9,4
15,1157,9,5
15,608,9,5
170,948,9,4
170,111,9,7
15,364,9,4
608,635,9,7
265,39,9,9
170,15,9,7
39,118,9,5
364,118,8,6
115,15,8,5
59,2,8,7
371,1292,8,7
920,855,8,2
446,39,8,5
364,44,8,5
15,1266,8,3
1266,15,8,3
611,364,8,1
1157,15,8,4
694,1213,8,5
162,1292,8,4
364,1475,8,4
3728,15,8,3
364,611,8,1
608,15,8,5
44,364,8,6
948,1469,8,2
15,115,7,5
1475,364,7,4
1475,1625,7,5
1623,32,7,4
1625,364,7,2
265,118,7,4
948,170,7,4
240,15,7,6
1292,162,7,4
635,608,7,6
364,15,7,3
285,15,7,6
351,59,7,7
2863,102,7,3
32,1623,7,4
754,15,7,5
307,1459,7,4
4013,694,6,4
432,111,6,4
15,93,6,4
3728,318,6,2
111,32,6,3
15,3136,6,3
739,855,6,3
738,446,6,3
2,131,6,2
102,2863,6,2
32,111,6,2
634,204,6,2
855,739,6,3
15,1495,6,5
15,1088,6,3
694,4013,6,4
15,2770,6,3
3136,15,6,3
851,15,6,2
15,318,6,4
364,1625,6,1
1238,3374,6,1
39,364,6,4
1292,371,6,5
1213,694,6,4
1459,307,6,4
608,2863,6,1
648,15,6,3
240,170,6,4
204,634,6,2
37,771,6,5
998,364,6,5
920,142,6,5
2692,694,6,4
15,515,6,4
15,240,6,6
111,602,6,3
608,2295,6,5
1556,1146,6,1
1495,15,6,4
15,265,6,4
376,1556,6,6
1310,364,5,2
670,694,5,5
35,111,5,3
15,756,5,3
637,1260,5,3
1469,948,5,1
1459,141,5,3
364,360,5,2
318,3728,5,2
2001,111,5,1
697,15,5,1
15,3193,5,1
694,670,5,4
307,2,5,2
32,870,5,2
694,2692,5,3
102,78,5,3
102,15,5,2
318,15,5,3
3810,112,5,2
15,102,5,2
111,77,5,2
93,15,5,4
3883,3347,5,1
1469,14,5,2
364,1310,5,1
141,1459,5,3
2309,318,5,3
477,441,5,1
15,170,5,5
2309,78,5,2
59,685,5,5
112,3810,5,2
15,142,5,3
111,1409,5,3
4257,1050,5,2
59,170,5,4
1556,2,5,4
118,265,5,3
1625,1475,5,4
364,998,5,3
142,15,5,3
1475,1310,5,3
2295,608,5,4
131,2,5,1
118,364,5,5
1312,1292,5,3
170,59,5,4
2863,608,5,1
218,265,5,3
204,2388,5,1
1146,140,5,2
2770,15,5,4
515,15,5,3
111,432,5,3
360,364,5,2
2,1556,5,5
625,2408,4,1
288,214,4,1
3347,3883,4,2
3067,1218,4,3
757,1085,4,1
290,772,4,4
761,3452,4,1
3147,574,4,1
346,1146,4,2
694,290,4,3
694,744,4,2
744,694,4,2
15,2015,4,2
307,267,4,3
289,2,4,4
307,620,4,1
78,3147,4,1
391,2,4,3
111,174,4,2
396,2682,4,2
446,364,4,3
401,257,4,1
14,3227,4,1
111,35,4,3
15,2942,4,2
2,307,4,1
2015,15,4,2
15,3728,4,2
756,15,4,3
3193,15,4,1
771,15,4,2
44,15,4,2
1409,111,4,3
1260,637,4,4
1292,111,4,2
2388,204,4,1
1218,3067,4,3
1146,1556,4,1
1149,2,4,4
3374,1238,4,1
3452,1471,4,1
620,307,4,1
15,754,4,3
611,15,4,2
15,625,4,2
15,648,4,4
1156,15,4,2
1146,346,4,2
2751,39,4,1
922,2,4,4
265,218,4,3
870,1077,4,1
685,59,4,4
2863,118,4,2
35,2118,4,1
