trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
241,1400,5e-06,4,,0.025733000016771257,86951,1.0,0.0,487,104,17616,0.20259686490092121,178.5441478439425,22.0,1064,6380,0.7370578789146576,526.3203125
243,1400,1e-05,4,,0.026150699995923787,86951,1.0,0.0,487,104,17616,0.20259686490092121,178.5441478439425,22.0,1064,6380,0.7370380367529688,525.3828125
245,1400,2e-05,4,,0.027118400001199916,86951,0.9990569401156973,0.000943059884302655,464,103,17616,0.2027881062289194,187.2176724137931,25.0,1025,6377,0.7356050176863874,526.0625
247,1400,3e-05,4,,0.026781799999298528,86951,0.9976768524801325,0.0023231475198675078,437,102,17616,0.2030686232694325,198.51029748283753,28.0,996,6321,0.7341111953175324,527.44921875
249,1400,5e-05,4,,0.02512500001466833,86951,0.9941806304700348,0.0058193695299652015,401,101,17616,0.20378275203886864,215.57356608478804,34.0,931,6238,0.7320687863949891,528.05859375
251,1400,8e-05,4,,0.025699299992993474,86951,0.9899828639118584,0.010017136088141587,370,101,17616,0.20464684014869888,232.64864864864865,37.0,819,5860,0.7308192177484704,528.76171875
244,1400,1e-05,8,,0.02735509999911301,86951,1.0,0.0,433,98,17616,0.20259686490092121,200.810623556582,23.0,975,5843,0.7303686199734222,525.27734375
242,1400,5e-06,8,,0.028412400017259642,86951,1.0,0.0,433,98,17616,0.20259686490092121,200.810623556582,23.0,975,5843,0.7303185842298294,525.32421875
229,1000,0.0001,4,,0.02586460000020452,86951,0.9891433106002231,0.010856689399776909,287,100,17616,0.20482053786319718,299.6759581881533,45.0,706,5318,0.7294669136716413,526.05078125
246,1400,2e-05,8,,0.026619200012646616,86951,0.9990569401156973,0.000943059884302655,411,97,17616,0.2027881062289194,211.36009732360097,25.0,923,5808,0.729042790889397,527.421875
225,1000,5e-05,4,,0.027204700018046424,86951,0.9951581925452266,0.004841807454773361,328,98,17616,0.20358257251820178,263.8109756097561,36.0,776,5434,0.7289681524942041,522.71484375
250,1400,5e-05,8,,0.027293400024063885,86951,0.9941806304700348,0.0058193695299652015,358,98,17616,0.20378275203886864,241.46648044692736,35.5,848,5734,0.7286795232380385,526.81640625
248,1400,3e-05,8,,0.027281700022285804,86951,0.9976768524801325,0.0023231475198675078,388,97,17616,0.2030686232694325,223.5798969072165,29.0,894,5748,0.7286102563663001,523.93359375
219,1000,1e-05,4,,0.024115300009725615,86951,1.0,0.0,410,96,17616,0.20259686490092121,212.07560975609755,23.0,915,5740,0.728353517028088,526.7265625
227,1000,8e-05,4,,0.02498439999180846,86951,0.9926395326103208,0.007360467389679215,305,98,17616,0.20409912989074394,282.98688524590165,39.0,741,5408,0.7283406165258363,523.8515625
217,1000,5e-06,4,,0.025255099986679852,86951,1.0,0.0,410,96,17616,0.20259686490092121,212.07560975609755,23.0,915,5740,0.7282992397756147,526.52734375
252,1400,8e-05,8,,0.02676219999557361,86951,0.9899828639118584,0.010017136088141587,329,98,17616,0.20464684014869888,261.6413373860182,39.0,757,5351,0.7274824444402741,526.734375
253,1400,0.0001,4,,0.02593559998786077,86951,0.9854515761750872,0.014548423824912837,345,99,17616,0.2055878439885162,248.36521739130436,42.0,766,5730,0.7272917148766567,526.88671875
221,1000,2e-05,4,,0.02540929999668151,86951,0.9994019620245885,0.0005980379754114695,381,95,17616,0.20271809802184146,228.08136482939634,25.0,867,5695,0.7270401063976791,523.84765625
231,1000,0.00015,4,,0.025699599995277822,86951,0.9804487584961645,0.01955124150383547,263,100,17616,0.20663687229475314,324.148288973384,56.0,640,4977,0.7269378492588198,526.68359375
233,1000,0.0002,4,,0.0333941999997478,86951,0.9737323320030822,0.02626766799691782,246,102,17616,0.20806217298357094,344.1747967479675,65.0,602,4872,0.7268147642304847,528.0
223,1000,3e-05,4,,0.02618119999533519,86951,0.9983438948373222,0.001656105162677779,356,95,17616,0.20293294319582522,243.83988764044943,30.5,836,5583,0.726695942220444,525.8046875
255,1400,0.00015,4,,0.02599930000724271,86951,0.9743993743602719,0.025600625639728092,306,101,17616,0.2079197403363824,276.87908496732024,53.5,680,5392,0.7262545117365231,527.1484375
254,1400,0.0001,8,,0.027529299986781552,86951,0.9854515761750872,0.014548423824912837,302,98,17616,0.2055878439885162,283.72847682119203,45.0,701,5233,0.726125067261585,527.56640625
257,1400,0.0002,4,,0.02756650000810623,86951,0.9651987901231728,0.03480120987682722,287,102,17616,0.20990169794459337,292.42160278745644,62.0,662,5389,0.7245878782711628,527.14453125
256,1400,0.00015,8,,0.026270000002114102,86951,0.9743993743602719,0.025600625639728092,269,98,17616,0.2079197403363824,314.9628252788104,59.0,612,4931,0.7229553470272472,523.90625
235,1000,0.0003,4,,0.02756650000810623,86951,0.9528010028636819,0.047198997136318144,210,102,17616,0.21263292575470447,394.5095238095238,86.5,550,4571,0.720942185894268,527.0625
201,800,5e-05,4,,0.026809299975866452,86951,0.9956642246782671,0.004335775321732904,284,90,17616,0.20347910458105206,304.8380281690141,35.0,664,5323,0.7205609809153289,526.47265625
258,1400,0.0002,8,,0.02585870001348667,86951,0.9651987901231728,0.03480120987682722,254,98,17616,0.20990169794459337,330.4133858267717,65.0,585,4981,0.7202783429218297,527.140625
205,800,0.0001,4,,0.025832300016190857,86951,0.9895228347000035,0.010477165299996538,249,91,17616,0.20474198047419806,345.5421686746988,45.0,598,5064,0.7198761316195464,527.77734375
230,1000,0.0001,8,,0.025728400010848418,86951,0.9891433106002231,0.010856689399776909,266,91,17616,0.20482053786319718,323.33458646616543,42.0,640,5198,0.7197704762725131,526.26171875
203,800,8e-05,4,,0.026523400010773912,86951,0.9925015238467643,0.007498476153235734,264,90,17616,0.20412751016813635,326.8901515151515,39.0,638,5110,0.7196541866437294,527.125
259,1400,0.0003,4,,0.02573090000078082,86951,0.9415072857126427,0.05849271428735725,240,103,17616,0.2151835338667318,341.1041666666667,73.0,598,4926,0.7188043675374592,528.515625
228,1000,8e-05,8,,0.0255415000137873,86951,0.9926395326103208,0.007360467389679215,279,89,17616,0.20409912989074394,309.3584229390681,39.0,665,5217,0.7186885217447071,526.45703125
234,1000,0.0002,8,,0.02508640001178719,86951,0.9737323320030822,0.02626766799691782,222,94,17616,0.20806217298357094,381.3828828828829,66.5,555,4771,0.7184955035504786,527.9921875
199,800,3e-05,4,,0.024907000013627112,86951,0.9982633897252475,0.0017366102747524703,306,87,17616,0.20294930875576037,283.66013071895424,32.0,727,5379,0.718262264124608,527.796875
232,1000,0.00015,8,,0.02849269998841919,86951,0.9804487584961645,0.01955124150383547,238,92,17616,0.20663687229475314,358.19747899159665,56.5,588,4879,0.7181634882763871,527.1875
218,1000,5e-06,8,,0.02593849998083897,86951,1.0,0.0,361,86,17616,0.20259686490092121,240.86149584487535,24.0,798,5489,0.7176779318718175,526.73046875
220,1000,1e-05,8,,0.027661799977067858,86951,1.0,0.0,361,86,17616,0.20259686490092121,240.86149584487535,24.0,798,5489,0.7175962060398554,522.22265625
222,1000,2e-05,8,,0.026062099990667775,86951,0.9994019620245885,0.0005980379754114695,340,86,17616,0.20271809802184146,255.58529411764707,27.5,757,5465,0.7174983050044712,525.796875
209,800,0.0002,4,,0.024995099985972047,86951,0.9737093305424894,0.026290669457510574,216,93,17616,0.20806708793480186,391.9675925925926,65.5,537,4682,0.7174236613013447,526.00390625
226,1000,5e-05,8,,0.028046399995218962,86951,0.9951581925452266,0.004841807454773361,296,87,17616,0.20358257251820178,292.3310810810811,37.0,685,5245,0.7172103349895409,522.796875
224,1000,3e-05,8,,0.027654800011077896,86951,0.9983438948373222,0.001656105162677779,321,86,17616,0.20293294319582522,270.4267912772586,31.0,726,5367,0.7171152955023856,525.8046875
197,800,2e-05,4,,0.024565900006564334,86951,0.9993904612942922,0.0006095387057077906,327,85,17616,0.20272043084996202,265.74311926605503,27.0,722,5299,0.7165303520885661,526.21875
207,800,0.00015,4,,0.027646999980788678,86951,0.9816908373681729,0.018309162631827136,230,90,17616,0.20637542614135593,371.12608695652176,56.0,564,4850,0.7164486757844508,526.828125
195,800,1e-05,4,,0.02647899999283254,86951,1.0,0.0,347,83,17616,0.20259686490092121,250.5792507204611,24.0,737,4642,0.7145573390878655,525.9375
193,800,5e-06,4,,0.027391100011300296,86951,1.0,0.0,347,83,17616,0.20259686490092121,250.5792507204611,24.0,737,4642,0.7145140950139754,526.29296875
236,1000,0.0003,8,,0.02588349999859929,86951,0.9528010028636819,0.047198997136318144,186,96,17616,0.21263292575470447,445.4139784946237,108.5,508,4426,0.7144624055018923,523.41796875
211,800,0.0003,4,,0.025076399993849918,86951,0.9562282204920013,0.04377177950799871,179,95,17616,0.21187082807144145,464.4972067039106,111.0,500,4526,0.7144319604512163,522.48046875
260,1400,0.0003,8,,0.02626139999483712,86951,0.9415072857126427,0.05849271428735725,219,98,17616,0.2151835338667318,373.81278538812785,81.0,540,4552,0.7132799744308926,523.890625
204,800,8e-05,8,,0.02563350001582876,86951,0.9925015238467643,0.007498476153235734,234,82,17616,0.20412751016813635,368.7991452991453,40.5,545,4858,0.711393328316155,527.5859375
206,800,0.0001,8,,0.025304799986770377,86951,0.9895228347000035,0.010477165299996538,226,82,17616,0.20474198047419806,380.7079646017699,45.0,522,4817,0.7105413907295677,527.7734375
202,800,5e-05,8,,0.02592650000588037,86951,0.9956642246782671,0.004335775321732904,246,80,17616,0.20347910458105206,351.9268292682927,37.0,558,5030,0.7102651662584443,527.796875
208,800,0.00015,8,,0.026426399999763817,86951,0.9816908373681729,0.018309162631827136,209,83,17616,0.20637542614135593,408.4162679425837,58.0,514,4633,0.7092268323727967,527.68359375
198,800,2e-05,8,,0.025964300002669916,86951,0.9993904612942922,0.0006095387057077906,278,77,17616,0.20272043084996202,312.58273381294964,31.0,621,5089,0.7083251280664994,523.640625
200,800,3e-05,8,,0.025146900006802753,86951,0.9982633897252475,0.0017366102747524703,261,77,17616,0.20294930875576037,332.56704980842915,33.0,598,5064,0.7080364431155852,525.80078125
210,800,0.0002,8,,0.026158599997870624,86951,0.9737093305424894,0.026290669457510574,197,84,17616,0.20806708793480186,429.7715736040609,65.0,485,4445,0.7079333557291732,527.18359375
194,800,5e-06,8,,0.026010200002929196,86951,1.0,0.0,289,75,17616,0.20259686490092121,300.86851211072667,26.0,636,4317,0.7065057379104284,522.12109375
196,800,1e-05,8,,0.027464099985081702,86951,1.0,0.0,289,75,17616,0.20259686490092121,300.86851211072667,26.0,636,4317,0.7064367796653044,525.9375
237,1000,0.0005,4,,0.024097699992125854,86951,0.9006566916999229,0.0993433083000771,157,102,17616,0.22494349597129468,498.8089171974522,150.0,518,4500,0.7056088095169433,527.84765625
212,800,0.0003,8,,0.025558699999237433,86951,0.9562282204920013,0.04377177950799871,163,86,17616,0.21187082807144145,510.0920245398773,112.0,446,4355,0.7048982429429587,526.6015625
261,1400,0.0005,4,,0.02500520000467077,86951,0.8876608664650205,0.11233913353497949,168,102,17616,0.22823678789370716,459.42261904761904,128.0,498,4245,0.7016579684121189,529.1328125
238,1000,0.0005,8,,0.026195100013865158,86951,0.9006566916999229,0.0993433083000771,141,97,17616,0.22494349597129468,555.4113475177305,170.0,473,4232,0.7000317787597155,523.15625
179,500,8e-05,4,,0.02479750002385117,86951,0.9951351910846339,0.0048648089153661145,206,68,17616,0.20358727810650887,420.0388349514563,38.0,456,4266,0.6982933552442707,527.55078125
