source_port,target_port,transition_count,unique_vessels
1111,130,8,8
85,296,6,6
58,3,6,6
463,20,6,6
53,1436,5,5
61,177,5,5
29,1162,4,1
12,106,4,1
634,414,4,4
324,438,4,4
58,497,4,4
78,1690,4,4
274,23,4,4
27,2,4,4
324,12,4,4
76,326,3,3
1790,217,3,2
1809,2,3,1
70,15,3,3
106,26,3,2
324,87,3,3
212,99,3,3
1163,12,3,3
1245,937,3,3
634,1148,3,3
701,244,3,3
48,414,3,3
572,274,3,3
531,545,3,3
249,262,3,3
2,27,3,3
169,29,3,3
372,12,3,3
87,12,3,3
96,1672,3,3
113,12,3,3
26,366,3,3
21,117,3,3
20,469,3,3
487,1294,3,3
454,15,3,3
1748,296,3,3
0,126,3,3
1152,1163,2,2
1315,1148,2,2
1334,248,2,2
1215,84,2,2
1245,384,2,2
850,526,2,2
20,463,2,2
18,20,2,1
18,650,2,2
20,18,2,1
26,101,2,1
724,260,2,2
15,158,2,2
15,454,2,2
31,1580,2,1
32,61,2,2
35,549,2,2
39,511,2,2
26,106,2,2
930,325,2,2
12,526,2,2
12,631,2,2
1009,145,2,2
981,114,2,2
974,16,2,2
974,245,2,2
937,1245,2,2
12,87,2,2
12,10,2,2
1152,12,2,2
101,26,2,1
469,20,2,2
497,58,2,2
478,928,2,2
511,39,2,2
55,127,2,2
526,12,2,2
515,12,2,2
630,323,2,2
631,12,2,2
588,785,2,1
626,31,2,2
569,147,2,2
545,96,2,2
65,119,2,2
61,662,2,2
662,61,2,2
649,20,2,2
937,1109,2,2
438,324,2,2
414,181,2,2
392,27,2,2
430,76,2,2
435,184,2,2
106,12,2,1
106,148,2,2
76,430,2,2
83,228,2,2
126,1164,2,2
127,55,2,2
99,212,2,2
87,324,2,2
143,289,2,2
163,900,2,2
165,788,2,2
166,595,2,1
177,23,2,2
373,514,2,2
384,1245,2,2
384,223,2,2
414,290,2,2
296,1748,2,2
263,143,2,2
269,930,2,2
282,1173,2,1
366,26,2,2
325,531,2,2
129,107,2,2
228,1258,2,2
245,294,2,2
259,2,2,2
262,249,2,2
1672,96,2,2
1608,12,2,2
218,102,2,2
223,16,2,2
1443,442,2,2
1568,1440,2,1
1357,938,2,2
3,868,2,2
2,1799,2,1
2,1809,2,1
2,259,2,2
0,997,2,2
0,98,1,1
0,288,1,1
0,900,1,1
1,21,1,1
1,303,1,1
2,106,1,1
3,58,1,1
3,1315,1,1
10,12,1,1
1359,288,1,1
1436,53,1,1
1440,1568,1,1
1468,1485,1,1
1485,1468,1,1
1513,114,1,1
1522,696,1,1
1527,320,1,1
1564,569,1,1
1568,223,1,1
177,61,1,1
181,414,1,1
183,528,1,1
185,614,1,1
192,13,1,1
193,147,1,1
204,481,1,1
204,1164,1,1
206,668,1,1
215,78,1,1
223,384,1,1
228,83,1,1
233,65,1,1
233,90,1,1
234,102,1,1
245,974,1,1
266,427,1,1
274,572,1,1
280,61,1,1
288,0,1,1
288,32,1,1
289,626,1,1
290,414,1,1
294,599,1,1
323,438,1,1
323,630,1,1
325,930,1,1
333,22,1,1
333,29,1,1
356,113,1,1
138,12,1,1
138,1687,1,1
143,263,1,1
145,1009,1,1
148,75,1,1
150,12,1,1
153,481,1,1
155,101,1,1
158,15,1,1
384,1568,1,1
392,1690,1,1
400,1180,1,1
403,1641,1,1
427,724,1,1
438,52,1,1
106,113,1,1
107,129,1,1
111,114,1,1
113,356,1,1
113,701,1,1
116,12,1,1
124,550,1,1
124,630,1,1
124,1379,1,1
126,0,1,1
70,1042,1,1
84,493,1,1
96,28,1,1
102,218,1,1
106,2,1,1
450,1294,1,1
455,649,1,1
481,733,1,1
492,922,1,1
493,39,1,1
497,572,1,1
514,1672,1,1
40,401,1,1
52,438,1,1
55,15,1,1
55,608,1,1
55,764,1,1
61,32,1,1
61,172,1,1
65,134,1,1
542,1398,1,1
549,600,1,1
572,58,1,1
572,497,1,1
595,12,1,1
598,1357,1,1
600,384,1,1
600,549,1,1
600,974,1,1
600,1245,1,1
614,185,1,1
626,289,1,1
631,1379,1,1
634,181,1,1
635,61,1,1
649,463,1,1
662,172,1,1
668,22,1,1
668,206,1,1
28,1555,1,1
29,169,1,1
29,454,1,1
30,220,1,1
32,280,1,1
32,288,1,1
33,1120,1,1
36,84,1,1
37,1101,1,1
39,493,1,1
723,1485,1,1
724,427,1,1
764,55,1,1
785,588,1,1
818,18,1,1
820,26,1,1
829,922,1,1
850,1783,1,1
868,3,1,1
868,1315,1,1
870,785,1,1
900,742,1,1
915,113,1,1
928,478,1,1
16,223,1,1
18,476,1,1
21,1,1,1
22,29,1,1
23,0,1,1
937,223,1,1
974,1440,1,1
976,818,1,1
986,1485,1,1
1001,65,1,1
1109,35,1,1
1109,937,1,1
1111,12,1,1
12,113,1,1
12,166,1,1
12,248,1,1
12,324,1,1
12,372,1,1
12,515,1,1
12,1163,1,1
12,1608,1,1
12,1867,1,1
12,2005,1,1
15,55,1,1
1164,204,1,1
1180,107,1,1
1182,1450,1,1
1241,264,1,1
1241,1540,1,1
1245,600,1,1
1294,487,1,1
1320,85,1,1
0,32,1,1
1799,2,1,1
1799,1809,1,1
0,23,1,1
2005,12,1,1
