port_id,lat,lon,feature_points,area_deg2
19,40.60769744742841,-74.02434106874092,2211,0.0902923516500008
3,26.158547977397056,-80.09736704821825,1052,0.02838132265000006
135,36.9262295064222,-76.3113382639194,804,0.036148349600000504
76,25.768692744680415,-80.13370185922649,588,0.02759245810000112
169,32.829280529754094,-79.8972270790226,438,0.019715516800000058
75,26.772350917797993,-80.03594388803533,423,0.0034486136500000647
55,39.22239427258073,-76.53481726632312,405,0.008655811450000642
48,39.8401658791768,-75.31577319169432,372,0.01089818160000006
788,27.83696360410505,-82.47540939579747,300,0.013995942299999342
204,32.10167075928606,-81.06361211320764,281,0.005670860499999842
52,42.36242980270301,-70.9742926478166,254,0.01098021989999974
353,24.54913629498416,-81.7826847396372,228,0.005515006700000157
193,30.39850593361517,-81.50375197420483,215,0.004850816549999933
775,25.936152122599243,-80.13501838890357,161,0.002789798350000493
40,35.34987515647543,-75.47146755691166,160,0.010915825049999337
430,26.845294864764657,-80.06203177618339,136,0.00042399234999995105
509,39.714904943165536,-75.51877028945316,119,0.0015619486999998442
155,28.409740044548723,-80.60467856564188,117,0.00042023280000002855
295,41.62955884193483,-70.91000896580643,114,0.00043112110000006673
177,27.641608345205956,-82.68801172427442,103,0.013496147949999844
1197,27.78022256428877,-82.60242207668658,103,0.001634489149999967
101,33.90460334566985,-78.01089986299111,101,0.002404488550000108
1655,34.7152753877727,-76.68122808299066,97,0.0009531675000000331
141,39.52798429730737,-75.58335023926684,96,0.00924849214999931
238,34.19473205588559,-77.95843750082764,93,0.0011357584000001653
726,41.48783287835194,-70.63586030414177,92,0.0051481321999998966
43,39.919863215444536,-75.13451670445612,90,0.0009514997500000332
1054,25.314869281168605,-80.2879310734408,89,0.00024584044999998204
1316,29.89602221523409,-81.30711547999829,88,0.000552396400000041
422,30.35675577599184,-81.62749712361234,85,0.002112487750000222
2577,40.54181079046447,-74.23958768331151,84,0.0008241283500000009
493,38.95564359523301,-74.89669807656915,82,0.0004531703499999234
23,40.42958964574484,-73.81203067735359,79,0.006911844150000502
112,30.701250935843422,-81.42986334592123,68,0.0022925190000001607
977,31.118860524243743,-81.4146829783767,66,0.001968551849999725
173,40.79791292964491,-73.87706297236012,63,0.001361162400000191
3182,41.28383503573679,-72.90754689764583,62,0.00012709589999985985
849,31.144180008972413,-81.49695041245022,60,4.9893699999978715e-05
1661,39.28201434760137,-76.22252219189576,59,0.0013551201000002546
1002,25.728122705480995,-80.22801346024637,58,0.00018129474999986793
423,35.797247220601385,-75.51182361860776,57,0.00447445654999997
655,39.38256575135857,-74.42431542653354,55,0.00020472559999993727
1801,27.507821061833376,-82.56706146935227,54,0.00018187050000000073
592,40.43588109166116,-74.01590005865971,53,0.001474635549999663
136,38.827685948859695,-75.07520633263307,53,0.007264632699999288
412,39.985953925784244,-75.07444075087922,52,0.0003776650500000382
255,39.62558441809761,-75.55665310021111,52,0.0017397260499997906
3494,40.10337022130241,-74.04299250027861,51,2.7964749999948504e-05
334,35.58747527539948,-75.44368831770437,50,0.003530023350000528
1020,43.64715916493819,-70.2608646439802,48,0.0002686858999999247
44,35.22196438109067,-75.76324701690169,46,0.0021492039000000794
150,24.824940730131047,-81.9999894738825,46,0.0046729706999998994
126,41.1480202281515,-73.18626098393979,46,0.0008713566500000184
1790,27.320696011578672,-82.5576480894041,43,0.0002821480999999174
461,41.11305024004912,-69.28625194658642,43,0.003825154499999753
1051,32.67709702274008,-79.73074245223765,43,0.0017885473499998396
1625,26.42692146839388,-80.06775712965866,43,0.00024878939999984474
2279,25.693572109706313,-80.25814783087037,42,0.00030431944999988127
402,30.381634147135653,-81.28582546420854,42,0.005387264949999175
1248,41.494910122984045,-71.34575666835367,41,0.0013307661000002365
13,41.3140855457098,-72.08580406051057,40,0.0011624183500004563
2271,26.357856705355175,-80.07393008673135,39,0.0001549727999998518
98,40.95690571564235,-73.07831555706326,39,0.00013954234999987054
601,34.64153047050298,-76.62764418313812,39,0.003280507349999804
2423,41.36288888539746,-71.51712146718363,38,0.00024822659999991715
37,32.00015906606673,-80.78465579183172,38,0.0031850728499998636
871,32.03519279674144,-80.90110206325534,38,0.001022070049999929
614,38.9662883758366,-76.48138865788492,37,0.00014900224999988217
995,41.61006880567204,-71.4011391618341,36,9.492870000007327e-05
39,35.208562222541104,-75.72058347127279,36,0.0002353689499999669
18,34.2094356769645,-77.81334176753442,35,0.000674209399999955
1721,41.603389996864536,-71.30132156554829,35,0.0016885301500000724
3804,26.887627945672346,-80.07300467126075,34,3.565465000006731e-05
685,36.94475803633697,-75.98963260547413,34,0.0030812624500000116
1358,30.275011766726738,-81.71613023232626,34,1.598039999999863e-05
4657,27.369847085039055,-82.6184969751681,33,4.018349999969059e-06
1588,36.9309839052967,-76.17728772039446,32,0.0006183350499997044
923,41.16102794455845,-72.22554185386923,32,0.00035011585000001766
251,35.02198976759364,-76.7005923678804,31,9.345699999945662e-06
