source_port,target_port,transition_count,unique_vessels
46,556,55,15
556,46,47,15
21,46,38,11
21,2657,37,20
46,21,36,13
21,639,36,7
639,21,35,7
2657,21,33,16
56,0,31,7
90,107,29,3
0,56,29,7
107,90,28,3
186,223,26,12
223,186,25,12
371,43,24,13
59,149,23,10
603,194,23,14
43,371,23,10
48,42,22,3
194,603,22,15
156,46,21,10
690,110,21,7
42,48,21,3
90,21,20,8
46,156,20,10
40,933,20,8
21,3268,19,8
933,40,19,6
149,59,19,9
21,26,19,10
43,461,19,8
21,149,19,13
1994,603,18,6
461,43,18,8
45,3,18,11
3,45,17,11
603,1994,17,6
3268,21,17,8
1039,891,17,2
21,90,17,7
21,558,16,8
21,51,15,5
3576,21,15,3
282,46,15,9
149,21,15,9
51,21,15,5
26,21,15,8
21,3576,15,3
21,1955,15,4
453,46,14,6
558,21,14,7
1733,88,14,5
1039,911,14,7
891,186,13,5
46,282,13,7
891,1039,13,2
186,891,13,5
194,347,12,6
21,1403,12,5
110,690,12,4
905,106,12,2
603,2205,12,6
59,88,12,3
56,783,12,8
59,1733,12,4
1955,21,12,4
983,15,12,3
15,983,11,3
2205,603,11,6
2347,45,11,5
3268,90,11,5
21,1520,11,3
21,59,11,4
59,751,11,1
88,1733,11,4
71,603,11,2
46,59,11,6
46,453,11,6
911,1039,11,5
149,1664,11,4
45,2347,11,4
751,59,11,1
21,56,11,5
1520,21,11,4
106,905,11,2
59,21,10,3
2122,1040,10,2
4462,603,10,4
1733,59,10,4
392,165,10,7
648,278,10,4
603,71,10,2
392,1717,10,4
223,21,10,8
712,1645,10,4
149,106,10,5
1403,21,10,4
149,401,10,6
165,392,10,5
149,223,10,7
603,4462,10,4
282,156,10,9
21,406,10,4
45,837,10,6
1451,1733,10,1
347,194,9,5
1040,2122,9,2
1398,15,9,4
43,1056,9,4
102,21,9,6
783,56,9,7
611,21,9,3
223,149,9,7
1664,149,9,4
1645,712,9,3
1733,1451,9,1
88,59,9,2
59,156,9,6
401,149,9,4
406,21,9,3
278,648,9,4
837,3,9,6
496,152,9,2
468,82,9,7
837,45,9,5
911,1442,9,2
56,21,9,4
2524,933,8,2
1717,165,8,5
15,1398,8,5
603,819,8,5
21,1755,8,6
