trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
1,20,5e-06,4,,1.0431196000427008,20014,1.0,0.0,7,6,9444,0.4718696912161487,2859.1428571428573,263.0,18,253,0.8142664733300552,314.0
2,20,5e-06,8,,0.01159489998826757,20014,1.0,0.0,4,3,11677,0.5834415908863795,5003.5,4162.0,4,164,0.8093120323706076,314.23046875
3,20,1e-05,4,,0.014466700027696788,20014,1.0,0.0,7,6,9444,0.4718696912161487,2859.1428571428573,263.0,18,253,0.839081073001372,314.30859375
4,20,1e-05,8,,0.01153590000467375,20014,1.0,0.0,4,3,11677,0.5834415908863795,5003.5,4162.0,4,164,0.809314915299717,314.30859375
5,20,2e-05,4,,0.012465400039218366,20014,1.0,0.0,7,6,9444,0.4718696912161487,2859.1428571428573,263.0,18,253,0.8391784966097158,314.3515625
6,20,2e-05,8,,0.018172800017055124,20014,1.0,0.0,4,3,11677,0.5834415908863795,5003.5,4162.0,4,164,0.8089927101424229,314.44140625
7,20,3e-05,4,,0.013614299998153001,20014,1.0,0.0,7,6,9444,0.4718696912161487,2859.1428571428573,263.0,18,253,0.8391225209399479,314.44140625
8,20,3e-05,8,,0.014501300000119954,20014,1.0,0.0,4,3,11677,0.5834415908863795,5003.5,4162.0,4,164,0.809170431425538,314.44140625
9,20,5e-05,4,,0.014580099959857762,20014,0.9997501748775857,0.00024982512241433774,7,6,9441,0.4718376730471288,2858.4285714285716,263.0,17,265,0.8390195115335403,314.9609375
10,20,5e-05,8,,0.011345200007781386,20014,0.9997501748775857,0.00024982512241433774,4,3,11674,0.5834374531460843,5002.25,4161.0,4,170,0.8092626070835085,314.7109375
11,20,8e-05,4,,0.016477300028782338,20014,0.9997501748775857,0.00024982512241433774,7,6,9441,0.4718376730471288,2858.4285714285716,263.0,17,265,0.8389275303249101,314.7265625
12,20,8e-05,8,,0.013159500027541071,20014,0.9997501748775857,0.00024982512241433774,4,3,11674,0.5834374531460843,5002.25,4161.0,4,170,0.8091740747582198,314.796875
13,20,0.0001,4,,0.011233199969865382,20014,0.9994503847306885,0.0005496152693115208,9,8,7992,0.39954006898965155,2222.5555555555557,263.0,18,285,0.8587052163366934,314.7421875
14,20,0.0001,8,,0.01489309995668009,20014,0.9994503847306885,0.0005496152693115208,4,3,11670,0.583412488126781,5000.75,4160.0,4,165,0.8090198215473327,314.76171875
15,20,0.00015,4,,0.01314919994911179,20014,0.9991505945837913,0.0008494054162087039,11,9,7918,0.39595939390908635,1817.909090909091,245.0,24,300,0.8618446661752913,314.76171875
16,20,0.00015,8,,0.011973100015893579,20014,0.9991505945837913,0.0008494054162087039,5,4,11449,0.5725358803820573,3999.4,215.0,6,202,0.81377900127756,314.76171875
17,20,0.0002,4,,0.014063199982047081,20014,0.9991505945837913,0.0008494054162087039,11,9,7918,0.39595939390908635,1817.909090909091,245.0,24,300,0.8618001848429306,314.76171875
18,20,0.0002,8,,0.011090099986176938,20014,0.9991505945837913,0.0008494054162087039,5,4,11449,0.5725358803820573,3999.4,215.0,6,202,0.8138221503929051,314.76953125
19,20,0.0003,4,,0.013068500033114105,20014,0.9991505945837913,0.0008494054162087039,11,9,7918,0.39595939390908635,1817.909090909091,245.0,24,300,0.8618485974271616,314.76953125
20,20,0.0003,8,,0.01462639996316284,20014,0.9991505945837913,0.0008494054162087039,5,4,11449,0.5725358803820573,3999.4,215.0,6,202,0.8136497957105843,314.7734375
21,20,0.0005,4,,0.013947300030849874,20014,0.9983011891675827,0.0016988108324172968,12,9,7918,0.3962962962962963,1665.0,215.0,22,279,0.861526089035669,314.78125
22,20,0.0005,8,,0.015057800046633929,20014,0.9983011891675827,0.0016988108324172968,7,5,11177,0.5594094094094094,2854.285714285714,215.0,10,199,0.818573292554479,314.78125
23,20,0.001,4,,0.012016399996355176,20014,0.9925552113520536,0.007444788647946399,11,10,7748,0.39003272086584445,1805.909090909091,263.0,26,370,0.8640434553352353,314.81640625
24,20,0.001,8,,0.01411220000591129,20014,0.9925552113520536,0.007444788647946399,7,6,9924,0.4995721117543418,2837.8571428571427,263.0,13,218,0.8316966208268108,314.81640625
25,30,5e-06,4,,0.014799700002186,20014,1.0,0.0,22,12,7763,0.3878784850604577,909.7272727272727,122.5,56,551,0.871460344310332,314.4921875
26,30,5e-06,8,,0.012409200018737465,20014,1.0,0.0,12,8,8150,0.4072149495353253,1667.8333333333333,239.0,29,315,0.8572502099288181,314.73828125
27,30,1e-05,4,,0.012960000021848828,20014,1.0,0.0,22,12,7763,0.3878784850604577,909.7272727272727,122.5,56,551,0.8715498281027548,314.75
28,30,1e-05,8,,0.015736899978946894,20014,1.0,0.0,12,8,8150,0.4072149495353253,1667.8333333333333,239.0,29,315,0.8570884105488958,314.75
29,30,2e-05,4,,0.011320099991280586,20014,1.0,0.0,22,12,7763,0.3878784850604577,909.7272727272727,122.5,56,551,0.8716298679853969,314.75
30,30,2e-05,8,,0.012231400003656745,20014,1.0,0.0,12,8,8150,0.4072149495353253,1667.8333333333333,239.0,29,315,0.8572588848574288,314.76171875
