trial,gamma,k,r,neighbor_mode,min_dense_points,trajectories,original_points,feature_points,compression_rate_dr,distance_similarity_dl,ld_score,cluster_coverage,n_clusters,largest_cluster_points,largest_cluster_share,nodes,edges,transitions,score,runtime_sec,rss_mb,trial_dir,feature_points_csv,map_html
8,0.05,200,0.0001,8,,1113,58799,8177,0.86093300906478,0.871575411018636,1.732508420083416,1.0,153,1457,0.1781827075944723,92,390,3879,1.1234456789933707,1.7571665000286885,200.81640625,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p05,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p05\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p05\nlsn_map.html
7,0.02,200,0.0001,8,,1113,58799,10678,0.8183982720794571,0.9285517735318394,1.7469500456112965,0.9793032403071736,152,1956,0.18705173567944916,103,405,4149,1.1160888591557543,2.1588885000091977,201.44921875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p02,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p02\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p02\nlsn_map.html
6,0.01,200,0.0001,8,,1113,58799,12666,0.7845881732682529,0.9583325716517485,1.7429207449200015,0.9846834043897047,146,2378,0.1906670942912123,101,397,4228,1.1159279642749542,2.679719000007026,201.6875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p01,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p01\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p01\nlsn_map.html
5,0.005,200,0.0001,8,,1113,58799,14941,0.7458970390652901,0.9712295656868478,1.717126604752138,0.987751823840439,142,2789,0.18898224691692642,97,374,4234,1.1085592120101715,2.1384448999888264,202.03125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p005,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p005\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p005\nlsn_map.html
4,0.002,200,0.0001,8,,1113,58799,17898,0.6956070681474175,0.9783091690492502,1.6739162371966678,0.9904458598726115,136,3340,0.18841315507418063,93,364,4211,1.0961761485395107,3.570761199982371,201.80078125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p002,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p002\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p002\nlsn_map.html
3,0.001,200,0.0001,8,,1113,58799,20179,0.6568138913927107,0.9848081030969968,1.6416219944897077,0.977996927498885,110,3670,0.18596402330884215,87,342,4160,1.08537817071861,2.9598737999913283,202.875,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p001,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p001\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p001\nlsn_map.html
2,0.0005,200,0.0001,8,,1113,58799,22238,0.6217962890525349,0.9886384703784148,1.6104347594309498,0.9807086968252541,110,4025,0.18455683433444908,90,340,4185,1.072505432870985,3.1240801000385545,202.734375,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p0005,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p0005\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p0005\nlsn_map.html
1,0.0001,200,0.0001,8,,1113,58799,26727,0.5454514532560077,0.9944370315724609,1.5398884848284686,0.9851461069330639,113,4699,0.1784656285605773,91,336,4211,1.0483636926551712,2.52485520002665,202.89453125,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p0001,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p0001\feature_points.csv,f:\PyTorch_GPU\ISLs\CEE-International_shipping_lanes_\Region_wise_netwoks\region_3\NLSN_Extraction\results\gamma_0p0001\nlsn_map.html
