source_port,target_port,transition_count,unique_vessels
82,141,439,135
141,82,423,136
82,427,189,82
427,82,184,72
427,141,139,58
48,93,136,47
93,48,132,48
141,427,131,56
107,82,131,48
48,144,126,49
144,48,122,49
141,48,111,54
82,107,105,45
48,141,102,46
38,48,94,40
48,38,84,35
225,174,84,32
280,48,82,32
174,225,82,34
48,280,81,31
519,141,77,29
141,519,76,31
48,82,72,33
82,48,68,30
107,141,61,22
141,107,59,26
141,299,57,24
299,141,56,26
48,137,56,21
48,159,55,15
159,48,55,16
48,87,53,28
107,92,52,20
48,940,52,25
141,529,51,19
48,827,51,12
82,92,50,23
48,299,50,28
87,48,49,25
827,48,48,11
92,107,46,18
940,48,46,23
48,196,45,18
196,48,45,18
225,107,45,20
529,141,44,14
137,48,44,20
92,82,43,20
141,140,43,22
38,87,42,16
299,48,42,28
107,225,42,16
87,38,41,16
140,141,40,17
1342,11,39,12
519,82,38,24
141,1629,38,19
11,1342,37,12
85,137,37,15
137,85,36,12
518,48,36,16
1629,141,35,20
529,48,35,14
141,288,35,15
82,225,35,17
85,48,34,23
48,518,34,15
188,321,33,16
82,519,33,21
137,93,33,17
288,141,32,16
82,932,32,14
21,38,32,14
141,144,31,14
82,1629,31,18
144,141,31,18
427,107,31,15
225,92,31,16
225,82,31,13
321,188,30,14
85,141,30,10
82,1046,30,14
48,85,30,21
38,280,29,16
48,343,29,13
1629,82,29,16
940,85,29,15
366,3505,29,5
932,82,29,11
141,85,29,11
363,48,29,13
343,48,28,13
11,141,28,14
415,48,28,15
3505,366,27,5
141,940,27,12
518,144,27,12
38,21,27,12
280,38,27,19
85,940,27,14
174,2508,27,6
107,427,27,14
847,48,27,11
321,3759,27,6
141,415,27,15
144,518,27,14
48,363,26,14
1046,82,26,15
58,358,26,8
92,225,26,14
2508,174,26,7
940,141,26,15
48,847,26,13
93,137,26,17
1230,225,25,9
141,11,25,14
358,58,25,8
141,1046,25,18
3759,321,25,7
415,141,25,13
225,1230,24,9
48,415,24,13
48,529,23,10
208,141,23,14
1046,141,23,16
93,85,22,13
141,1306,22,11
48,193,22,12
193,48,22,14
231,48,22,11
82,2035,22,6
85,93,22,11
