source_port,target_port,transition_count,unique_vessels
60,54,317,90
54,60,312,93
55,33,93,22
33,55,93,21
16,163,64,15
163,16,64,15
16,128,58,16
128,16,57,16
75,54,45,9
91,54,43,12
54,75,42,9
55,43,38,9
54,33,38,13
43,55,38,10
198,33,37,10
33,54,36,13
54,91,36,10
33,198,36,11
25,135,34,10
91,60,33,10
135,25,33,9
60,91,33,11
24,102,32,7
102,24,32,7
33,43,32,9
43,33,31,8
126,54,29,7
61,260,28,7
154,91,28,8
142,180,27,8
61,212,27,8
54,126,27,6
180,142,27,9
260,61,25,5
212,61,25,8
61,191,24,9
91,154,24,7
20,91,24,6
75,13,23,7
111,91,23,9
91,20,23,6
13,75,23,7
102,33,22,5
33,102,22,5
103,80,22,7
298,33,21,7
91,111,21,9
33,298,20,7
142,110,20,6
191,61,20,9
110,142,20,6
80,103,19,7
154,54,18,5
17,33,18,3
54,154,18,6
230,128,17,5
33,17,17,3
270,16,17,2
56,61,17,5
61,56,17,5
54,148,17,4
128,230,16,5
253,30,16,5
314,66,16,2
148,54,16,4
45,76,16,4
76,45,16,4
135,61,16,8
30,253,16,6
16,270,16,2
100,191,16,7
9,61,16,7
142,246,15,3
139,201,15,4
61,135,15,8
70,91,15,4
191,100,15,7
91,70,15,4
60,126,15,4
61,9,15,6
126,60,15,4
246,142,14,3
33,60,14,5
133,180,14,3
269,31,14,4
111,60,14,3
142,125,14,2
60,33,14,5
61,100,14,5
66,314,14,2
60,111,14,3
313,297,13,1
125,142,13,2
31,269,13,3
133,85,13,5
201,139,13,4
39,172,12,2
297,313,12,1
54,102,12,2
191,160,12,4
19,15,12,4
85,142,12,4
142,99,12,2
15,19,12,4
172,39,12,2
99,142,12,2
100,61,12,5
180,133,12,3
15,367,11,2
103,33,11,4
61,256,11,2
160,191,11,4
33,103,11,4
277,200,11,1
256,61,11,2
191,25,11,5
100,58,11,5
70,111,11,3
20,54,11,4
102,54,11,2
200,277,11,1
111,70,11,3
85,133,11,5
155,97,10,2
346,128,10,3
58,100,10,4
153,135,10,4
318,139,10,2
97,155,10,2
54,20,10,4
128,346,10,3
9,279,10,4
142,133,10,3
135,153,10,4
361,96,10,2
389,253,10,1
139,318,10,2
91,103,10,4
346,230,10,1
185,196,10,2
51,236,10,1
9,117,9,6
126,75,9,2
60,75,9,5
206,248,9,2
367,15,9,2
179,346,9,2
155,74,9,3
97,215,9,2
346,179,9,2
29,133,9,3
33,74,9,2
296,141,9,1
30,327,9,4
289,250,9,2
135,191,9,6
136,211,9,5
141,296,9,1
33,5,9,2
236,51,9,1
74,155,9,3
253,389,9,1
250,289,9,2
33,80,9,2
230,346,9,1
9,100,9,3
103,91,9,4
175,66,9,1
16,133,9,3
25,74,9,3
133,16,9,3
191,135,9,6
142,85,9,4
73,61,9,3
66,175,9,1
198,387,9,2
211,136,9,4
96,361,9,2
55,75,9,2
279,9,8,4
248,206,8,2
143,124,8,2
327,30,8,3
215,97,8,2
124,143,8,2
103,280,8,1
155,370,8,1
100,9,8,3
61,73,8,2
16,230,8,4
115,100,8,1
133,168,8,3
196,185,8,2
80,33,8,2
133,222,8,3
100,115,8,1
142,203,8,1
191,77,8,3
75,55,8,2
139,376,8,3
387,198,8,2
75,126,8,2
77,191,8,3
30,97,8,2
31,69,8,2
74,25,8,3
5,33,7,2
14,9,7,2
4,147,7,1
29,2,7,2
29,246,7,1
29,269,7,1
2,29,7,2
83,135,7,3
280,103,7,1
246,29,7,1
74,33,7,2
33,126,7,2
294,9,7,2
135,83,7,3
25,191,7,4
376,139,7,3
22,220,7,1
370,155,7,1
374,396,7,1
307,334,7,1
117,161,7,1
69,31,7,2
70,54,7,1
126,33,7,2
54,354,7,1
85,180,7,2
133,142,7,2
133,29,7,4
54,111,7,3
69,29,7,1
68,53,7,1
192,67,7,1
67,192,7,1
163,128,7,2
57,86,7,3
128,163,7,2
97,30,7,2
168,133,7,3
9,294,7,1
117,9,7,5
117,14,6,2
16,266,6,1
343,61,6,2
111,54,6,3
9,115,6,1
115,9,6,1
180,85,6,2
60,148,6,2
86,57,6,3
164,245,6,1
56,160,6,1
187,154,6,4
160,56,6,1
161,117,6,1
334,307,6,1
20,60,6,2
17,205,6,1
54,188,6,3
153,370,6,1
53,68,6,1
66,9,6,1
60,20,6,2
203,142,6,1
17,103,6,2
85,16,6,3
133,218,6,1
9,14,6,2
14,117,6,3
103,138,6,1
354,54,6,1
370,153,6,1
307,184,6,1
33,334,6,1
269,29,6,1
75,60,6,3
138,103,6,1
29,69,6,1
75,152,6,1
230,163,6,3
147,4,6,1
152,75,6,1
230,16,6,3
123,229,6,1
42,377,6,1
220,22,6,1
148,60,6,2
218,133,6,1
54,70,6,1
103,70,5,1
229,123,5,1
222,133,5,2
131,146,5,1
154,33,5,2
94,191,5,1
205,17,5,1
57,76,5,2
54,231,5,1
61,343,5,3
156,334,5,1
181,347,5,1
181,338,5,1
184,307,5,1
188,54,5,3
61,38,5,1
61,40,5,1
334,33,5,1
348,69,5,1
376,368,5,1
377,42,5,1
103,54,5,3
103,17,5,2
168,142,5,2
347,181,5,1
110,168,5,2
46,74,5,1
52,363,5,1
154,315,5,1
146,131,5,1
69,2,5,2
54,103,5,4
199,124,5,1
44,118,5,1
76,154,5,1
142,168,5,1
74,6,5,1
122,17,5,2
102,75,5,1
124,199,5,1
70,103,5,1
100,279,5,2
118,44,5,1
154,76,5,1
69,348,5,1
315,154,5,1
25,61,5,3
290,20,5,1
231,54,5,1
33,275,5,1
291,76,5,1
86,217,5,2
245,164,5,1
31,29,5,2
38,61,5,1
40,61,5,1
266,16,5,1
88,300,5,1
9,66,5,1
25,3,5,2
298,55,5,1
275,33,5,1
135,103,5,2
6,74,5,1
396,374,5,1
363,25,4,1
13,60,4,1
11,230,4,1
103,60,4,2
113,133,4,1
112,56,4,1
110,246,4,1
110,218,4,1
363,52,4,1
76,291,4,1
135,9,4,2
91,33,4,2
76,57,4,2
75,102,4,1
139,133,4,1
74,46,4,1
143,31,4,1
153,97,4,1
150,233,4,1
149,62,4,1
148,70,4,1
143,230,4,1
155,60,4,1
154,187,4,2
133,139,4,1
133,69,4,1
96,123,4,1
155,215,4,1
61,272,4,1
61,271,4,1
60,370,4,1
16,85,4,2
339,55,4,1
338,181,4,1
337,47,4,1
334,156,4,1
168,203,4,2
168,110,4,2
163,230,4,2
55,298,4,1
185,0,4,1
60,103,4,2
128,190,4,2
97,153,4,1
54,290,4,1
191,94,4,1
191,83,4,2
190,128,4,2
203,168,4,1
230,11,4,1
218,110,4,1
217,86,4,2
215,155,4,1
331,307,4,1
318,378,4,1
312,108,4,1
308,102,4,1
307,331,4,1
230,143,4,1
123,96,4,1
9,135,4,2
246,110,4,1
233,150,4,1
17,122,4,2
33,91,4,2
272,61,4,1
271,61,4,1
41,38,4,1
38,41,4,1
33,388,4,1
31,143,4,1
29,31,4,2
25,363,4,1
370,60,4,1
368,376,4,1
303,55,4,1
300,88,4,1
0,185,4,1
2,69,4,2
8,33,3,1
1,9,3,1
9,1,3,1
378,318,3,1
3,25,3,2
3,135,3,2
191,74,3,2
54,191,3,1
54,365,3,1
55,60,3,2
198,103,3,1
198,353,3,1
54,76,3,1
54,146,3,2
119,76,3,1
100,135,3,2
122,33,3,1
202,342,3,1
55,303,3,1
55,339,3,1
56,25,3,1
56,112,3,1
56,238,3,1
