MMSI,trajectory_id,feature_order,feature_idx_in_traj,LON,LAT,gamma
36968098,36968098_0,0,0,-84.33874,46.5007,0.05
36968098,36968098_0,1,40,-84.33874,46.5007,0.05
67649790,67649790_0,0,0,-87.54007,41.72427,0.05
67649790,67649790_0,1,61,-87.54011,41.72429,0.05
244283000,244283000_0,0,0,-82.80388,42.42959,0.05
244283000,244283000_0,1,2,-82.41226,43.74464,0.05
244283000,244283000_0,2,3,-82.81248,42.42388,0.05
244283000,244283000_0,3,4,-82.41224,43.70734,0.05
244283000,244283000_0,4,6,-83.10921,42.2606,0.05
244283000,244283000_0,5,7,-83.84347,43.62091,0.05
244283000,244283000_0,6,8,-82.80815,42.42675,0.05
244283000,244283000_0,7,10,-83.84347,43.62089,0.05
244283000,244283000_0,8,22,-83.63005,43.98984,0.05
244283000,244283000_0,9,23,-83.10921,42.26058,0.05
244283000,244283000_0,10,26,-83.84346,43.6209,0.05
303457000,303457000_0,0,0,-83.07169,42.31326,0.05
303457000,303457000_0,1,1,-83.13467,42.19047,0.05
303457000,303457000_0,2,3,-83.09967,42.28574,0.05
303457000,303457000_0,3,7,-84.67272,46.61847,0.05
303457000,303457000_0,4,20,-82.75897,42.45913,0.05
303457000,303457000_0,5,31,-83.02123,42.32814,0.05
303457000,303457000_0,6,32,-84.67123,46.61905,0.05
303457000,303457000_0,7,36,-83.09553,42.29174,0.05
303457000,303457000_0,8,37,-83.77781,45.49146,0.05
303457000,303457000_0,9,41,-84.8735,46.7258,0.05
303457000,303457000_0,10,42,-84.6634,46.59069,0.05
303457000,303457000_0,11,47,-87.3718,46.57106,0.05
303457000,303457000_0,12,59,-84.675,46.61701,0.05
303583000,303583000_0,0,0,-84.47016,45.64956,0.05
303583000,303583000_0,1,5,-83.4945,45.39893,0.05
303583000,303583000_0,2,11,-84.07777,45.6102,0.05
303583000,303583000_0,3,15,-83.97947,45.5742,0.05
303583000,303583000_0,4,16,-82.42089,42.95705,0.05
303583000,303583000_0,5,19,-83.18671,45.1749,0.05
303583000,303583000_0,6,20,-83.97075,45.57093,0.05
303583000,303583000_0,7,23,-86.16391,45.77349,0.05
303583000,303583000_0,8,25,-83.23484,45.21159,0.05
303583000,303583000_0,9,33,-83.93762,45.55873,0.05
303583000,303583000_0,10,34,-83.78495,45.50356,0.05
303583000,303583000_0,11,37,-82.42091,42.95705,0.05
303583000,303583000_0,12,41,-83.37655,45.32074,0.05
316001002,316001002_0,0,0,-82.3574,42.9595,0.05
316001002,316001002_0,1,31,-82.35741,42.95949,0.05
316001096,316001096_0,0,0,-79.85283,43.276,0.05
316001096,316001096_0,1,20,-79.85283,43.27598,0.05
316001101,316001101_0,0,0,-83.26252,45.23457,0.05
316001101,316001101_0,1,3,-84.37424,46.51395,0.05
316001101,316001101_0,2,4,-83.27785,45.24709,0.05
316001101,316001101_0,3,5,-82.57534,42.56997,0.05
316001101,316001101_0,4,10,-82.80079,42.43167,0.05
316001101,316001101_0,5,11,-83.07437,44.99631,0.05
316001101,316001101_0,6,22,-84.37423,46.51394,0.05
316001101,316001101_0,7,25,-83.12514,44.27767,0.05
316001101,316001101_0,8,26,-84.02586,46.08003,0.05
316001101,316001101_0,9,35,-83.07322,44.16248,0.05
316001101,316001101_0,10,36,-84.37423,46.51393,0.05
316001101,316001101_0,11,37,-83.13635,45.12938,0.05
316001101,316001101_0,12,50,-84.37422,46.51395,0.05
316001434,316001434_0,0,0,-79.80304,43.29874,0.05
316001434,316001434_0,1,27,-79.80306,43.29875,0.05
316001698,316001698_0,0,0,-79.24832,42.87967,0.05
316001698,316001698_0,1,64,-79.24819,42.8796,0.05
316001834,316001834_0,0,0,-81.54562,45.5906,0.05
316001834,316001834_0,1,5,-81.59607,45.3275,0.05
316001834,316001834_0,2,6,-81.54603,45.54947,0.05
316001834,316001834_0,3,7,-81.64311,45.31953,0.05
316001834,316001834_0,4,9,-81.83868,45.31143,0.05
316001834,316001834_0,5,10,-81.41013,41.79387,0.05
316001834,316001834_0,6,13,-81.28031,41.76441,0.05
316001834,316001834_0,7,14,-81.60118,45.3256,0.05
316001834,316001834_0,8,19,-81.5582,45.71046,0.05
316001834,316001834_0,9,21,-82.42794,41.48464,0.05
