source_port,target_port,transition_count,unique_vessels
52,310,74,20
310,52,68,22
24,2755,43,20
659,210,39,20
2755,24,39,16
51,3,39,22
24,698,39,7
3,51,38,23
24,52,38,12
210,659,37,23
698,24,37,7
52,24,37,13
44,1006,29,8
201,244,25,11
49,502,24,8
244,201,24,12
1006,44,24,5
1056,16,24,5
168,52,23,10
64,161,23,10
99,24,23,10
16,1056,23,5
52,168,22,10
753,122,22,7
502,49,22,8
24,161,21,14
161,119,20,8
161,64,20,9
24,3373,20,8
24,99,20,10
3373,99,19,5
2091,659,19,6
3373,24,18,8
24,56,18,5
119,161,18,6
60,965,18,2
659,2091,18,7
56,24,16,5
161,24,16,11
24,3697,16,3
91,97,16,5
3697,24,16,3
60,985,15,7
1761,119,15,2
24,1492,15,6
24,2050,15,4
492,52,14,6
659,2298,14,6
965,60,14,2
164,1400,14,3
310,168,14,13
119,1761,14,2
122,753,14,4
99,3373,14,3
965,201,14,6
1492,24,13,4
985,60,13,5
0,854,13,8
201,965,13,5
244,24,13,9
708,307,13,4
985,1536,13,2
64,97,13,3
2298,659,13,6
97,520,13,4
168,310,13,12
2050,24,12,4
49,473,12,5
64,24,12,4
473,49,12,5
778,1742,12,4
24,64,12,4
978,119,12,2
307,708,12,4
34,177,12,8
64,91,12,4
2439,51,11,5
512,90,11,9
854,0,11,7
24,441,11,4
24,1619,11,3
822,64,11,1
161,1761,11,4
1400,164,11,2
24,0,11,5
177,34,11,6
64,822,11,1
78,659,11,2
4550,659,11,4
659,4550,11,4
119,978,11,2
34,1814,11,4
1742,778,11,3
1619,24,11,4
52,492,11,6
51,2439,11,4
52,64,11,6
90,3,10,6
659,78,10,2
97,64,10,2
97,91,10,4
49,796,10,3
114,24,10,6
91,64,10,4
441,24,10,3
1536,985,10,2
310,492,10,4
161,244,10,7
24,1857,10,6
3,90,10,7
3,183,9,2
520,97,9,3
3,512,9,6
244,161,9,7
0,457,9,8
1006,2619,9,5
191,1675,9,3
796,49,9,3
247,24,9,7
1761,161,9,4
1814,34,9,4
90,512,9,8
667,24,9,3
406,3,9,5
1857,24,9,5
48,3949,9,1
1675,191,9,3
638,28,9,5
2755,99,9,4
0,24,9,4
54,1015,9,7
64,168,9,6
183,3,8,2
24,244,8,5
1188,49,8,3
24,723,8,1
2619,44,8,5
2619,1006,8,2
520,64,8,2
502,146,8,2
3192,659,8,4
28,705,8,4
1814,177,8,5
723,24,8,1
705,28,8,3
732,60,8,5
99,2755,8,4
350,161,8,4
492,310,8,3
3949,48,8,1
0,3373,8,1
481,2620,8,2
122,285,8,6
161,52,7,5
24,114,7,5
97,767,7,2
161,350,7,4
146,502,7,2
161,49,7,2
162,3693,7,1
1015,54,7,5
512,3,7,4
0,316,7,2
